company_mart.name,company_mart.deleted_week,company_mart.registration_week,company_mart.account_type
Mediterranea de agroquimicos,,2018-11-12,Buyer
Meghna Colour Chem,,2018-11-12,Buyer
deleted_Testcompany,2020-08-31,2018-11-12,Buyer
deleted_SP,2020-08-31,2018-11-12,Buyer
deleted_Imcd-France,2020-08-31,2018-11-12,Buyer
deleted_Idrosoluzioni srl,2020-08-31,2018-11-12,Buyer
SAIPOL,,2018-11-12,Buyer
deleted_Huss,2020-08-31,2018-11-12,Buyer
SpaChem Limited,,2018-11-12,Buyer
Symrise AG,,2018-11-12,Buyer
deleted_Four Leaf Communications,2020-08-31,2018-11-12,Buyer
deleted_Don Marten Ltd,2020-08-31,2018-11-12,Buyer
deleted_Quaternia s.l.,2022-11-28,2018-11-12,Buyer
Easy Cleaning Solutions Ltd,,2018-11-19,Buyer
Ultima Direct LTD,,2018-11-19,Buyer
_deleted-PCC Specialties GmbH,2019-07-22,2018-11-19,Buyer
deleted_FCV SYSTEM di Corvasce Vincenzo & C,2020-08-31,2018-11-19,Buyer
BUZIL-WERK Wagner GmbH & Co. KG,,2018-11-19,Buyer
deleted_KI TEST Company,2020-08-31,2018-11-19,Buyer
deleted_iGreen srl,2020-08-31,2018-11-19,Buyer
Fire Assay SL,,2018-11-19,Buyer
Heinrich van Megen KG,,2018-11-19,Buyer
deleted_Veneri Massimo,2020-08-31,2018-11-19,Buyer
deleted_GoBiz di Roldano Zappalà,2020-08-31,2018-11-19,Buyer
deleted_biotrap,2020-08-31,2018-11-19,Buyer
deleted_Azienda Agricola Carini,2020-08-31,2018-11-19,Buyer
Interchem B.V.,,2018-11-19,Buyer
deleted_Treekmann,2020-08-31,2018-11-19,Buyer
deleted_PHARMACIE DE SAINT LEGER,2020-08-31,2018-11-19,Buyer
"Química Verde Masul, S.L.L.",,2018-11-19,Buyer
deleted_OUGOTOUMATERIO,2020-08-31,2018-11-19,Buyer
deleted_Emil Otto GmbH,2020-08-31,2018-11-19,Buyer
TORGGLER CHIMICA SPA,,2018-11-19,Buyer
B SAILS,,2018-11-19,Buyer
Fiorio,,2018-11-19,Buyer
deleted_TestVladimir,2020-08-31,2018-11-26,Buyer
deleted_deleted_certus projektmanagement gmbh-blocked by CheMondis,2021-12-06,2018-11-26,Buyer
deleted_ACTiVE SPyRIT,2020-08-31,2018-11-26,Buyer
deleted_creatino,2020-08-31,2018-11-26,Buyer
Air Liquide Italy,,2018-11-26,Buyer
alxyon srl,,2018-11-26,Buyer
BG OLEO CHEMICALS,,2018-11-26,Buyer
Brenntag Austria GmbH,,2018-11-26,Buyer
Cleprin srl,,2018-11-26,Buyer
Falis s.n.c,,2018-11-26,Buyer
SAS DIEX,,2018-11-26,Buyer
Wrimes Cosmetics Ltd,,2018-11-26,Buyer
Zanolo spa,,2018-11-26,Buyer
deleted_Dalla Torre Corporation,2020-08-31,2018-11-26,Buyer
deleted_ENSYSTEX EUROPE,2020-08-31,2018-11-26,Buyer
deleted_Institut de Prevencio Genetica de Barcelona,2020-08-31,2018-11-26,Buyer
deleted_Keytech Srl,2020-08-31,2018-11-26,Buyer
deleted_Lab Corral,2020-08-31,2018-11-26,Buyer
deleted_maxmillian,2020-08-31,2018-11-26,Buyer
deleted_N. D.,2020-08-31,2018-11-26,Buyer
deleted_OC,2020-08-31,2018-11-26,Buyer
deleted_Rocket Science,2020-08-31,2018-11-26,Buyer
