,company_id,company_name,flag
136,15094,Acril - Nova srl,0
137,15094,Acril - Nova srl,0
138,15094,Acril - Nova srl,0
139,15094,Acril - Nova srl,0
140,15094,Acril - Nova srl,0
141,15094,Acril - Nova srl,0
142,15094,Acril - Nova srl,1
143,15094,Acril - Nova srl,1
144,15094,Acril - Nova srl,0
145,15094,Acril - Nova srl,0
146,15094,Acril - Nova srl,0
147,15094,Acril - Nova srl,0
148,15094,Acril - Nova srl,0
149,15094,Acril - Nova srl,0
150,15094,Acril - Nova srl,0
151,15094,Acril - Nova srl,0
152,15094,Acril - Nova srl,0
153,15094,Acril - Nova srl,0
154,15094,Acril - Nova srl,0
155,15094,Acril - Nova srl,0
156,15094,Acril - Nova srl,0
157,15094,Acril - Nova srl,0
158,15094,Acril - Nova srl,0
159,15094,Acril - Nova srl,0
160,15094,Acril - Nova srl,0
161,15094,Acril - Nova srl,0
162,15094,Acril - Nova srl,0
163,15094,Acril - Nova srl,0
164,15094,Acril - Nova srl,0
165,15094,Acril - Nova srl,0
166,15094,Acril - Nova srl,0
167,15094,Acril - Nova srl,0
168,44157,ACS Chem GmbH,0
169,44157,ACS Chem GmbH,0
170,9100,ACSCHEM Pte Ltd,0
171,11432,Active Specialities,0
172,60977,ACT Polyols,0
173,58288,ACUSAS KİMYA DIŞ TİCART LİMİTED ŞİRKETİ,0
174,58288,ACUSAS KİMYA DIŞ TİCART LİMİTED ŞİRKETİ,1
175,58288,ACUSAS KİMYA DIŞ TİCART LİMİTED ŞİRKETİ,0
176,58288,ACUSAS KİMYA DIŞ TİCART LİMİTED ŞİRKETİ,0
177,58288,ACUSAS KİMYA DIŞ TİCART LİMİTED ŞİRKETİ,0
178,58288,ACUSAS KİMYA DIŞ TİCART LİMİTED ŞİRKETİ,0
179,58288,ACUSAS KİMYA DIŞ TİCART LİMİTED ŞİRKETİ,1
180,58288,ACUSAS KİMYA DIŞ TİCART LİMİTED ŞİRKETİ,1
181,58288,ACUSAS KİMYA DIŞ TİCART LİMİTED ŞİRKETİ,1
182,58288,ACUSAS KİMYA DIŞ TİCART LİMİTED ŞİRKETİ,1
183,58288,ACUSAS KİMYA DIŞ TİCART LİMİTED ŞİRKETİ,1
184,58288,ACUSAS KİMYA DIŞ TİCART LİMİTED ŞİRKETİ,0
185,58288,ACUSAS KİMYA DIŞ TİCART LİMİTED ŞİRKETİ,0
186,38275,Adakem Chemicals Ltd,0
187,38275,Adakem Chemicals Ltd,0
188,38275,Adakem Chemicals Ltd,0
189,38275,Adakem Chemicals Ltd,0
190,38275,Adakem Chemicals Ltd,0
191,38275,Adakem Chemicals Ltd,0
192,38275,Adakem Chemicals Ltd,0
193,38275,Adakem Chemicals Ltd,0
194,38275,Adakem Chemicals Ltd,0
195,38275,Adakem Chemicals Ltd,0
196,38275,Adakem Chemicals Ltd,0
197,38275,Adakem Chemicals Ltd,0
198,38275,Adakem Chemicals Ltd,0
199,38275,Adakem Chemicals Ltd,0
200,38275,Adakem Chemicals Ltd,0
201,38275,Adakem Chemicals Ltd,0
202,38275,Adakem Chemicals Ltd,0
203,38275,Adakem Chemicals Ltd,0
204,38275,Adakem Chemicals Ltd,0
205,38275,Adakem Chemicals Ltd,0
206,38275,Adakem Chemicals Ltd,0
207,38275,Adakem Chemicals Ltd,0
