,company,in_trial,has_signed_up,company_top_500_product_count,company_top_500_request_count,total_substance_request_count_based_on_company_substances,total_substance_offers_count_based_on_company_substances,avg_requests_per_product,market_share_requests,market_request_to_offer_cr,Product Density Score,Requests Density Score,Match Count
49,Yigitoglu Kimya,No,Yes,85,953,27887,7885,11,0.03,0.28,0.2631578947368421,117.11842105263158,20.0
50,Same Chemicals BV,No,Yes,194,1586,27549,5759,8,0.06,0.21,0.2127659574468085,77.68085106382979,20.0
51,Bang&Bonsomer Group Oy,Yes,No,100,2,27077,7394,0,0.0,0.27,0.24,106.70666666666666,18.0
52,Elite Chemicals Kimya San.ve Tic.A.S,No,No,72,100,27066,6914,1,0.0,0.26,0.25,106.56944444444444,18.0
53,Hua-Chem,No,Yes,251,448,26677,5553,2,0.02,0.21,0.07462686567164178,32.527363184079604,15.0
54,Stand-Chem Kft.,No,No,53,93,26586,5965,2,0.0,0.22,0.35294117647058826,141.47058823529412,18.0
55,Möller Chemie GmbH & Co. KG,No,Yes,194,1119,26311,5723,6,0.04,0.22,0.12408759124087591,48.51094890510949,17.0
56,peri kimya,No,No,52,471,26170,6577,9,0.02,0.25,0.3829787234042553,163.4255319148936,18.0
57,biolla chemicals GmbH,No,Yes,522,1193,26104,6050,2,0.05,0.23,0.012732615083251714,5.592556317335945,13.0
58,STOCKMEIER Chemie GmbH & Co. KG,No,No,48,26,25686,6981,1,0.0,0.27,0.1111111111111111,42.81196581196581,26.0
59,A. + E. Fischer-Chemie GmbH Co. KG,No,No,284,632,25509,7299,2,0.02,0.29,0.23809523809523808,100.78571428571429,20.0
60,IntraChem Limited,No,Yes,21970,833,25506,5572,0,0.03,0.12,0.00045591319412783806,0.14794383149448345,10.0
61,Livchem Logistics GmbH,No,No,4739,1272,24903,5167,0,0.05,0.19,0.0036483035388544327,1.6745713243341847,10.0
62,Top Agrochem,No,No,392,808,24685,5348,2,0.03,0.21,0.04310344827586207,17.146551724137932,15.0
63,STOCKMEIER CHEMICALS BELUX N.V.,No,No,78,16,24079,6357,0,0.0,0.26,0.25396825396825395,106.52380952380952,16.0
64,MRM Chemicals SP ZOO,No,No,28,105,23892,6712,4,0.0,0.28,0.6666666666666666,310.962962962963,18.0
65,Elif Endustriyel Kimyasallari,No,No,55,61,23564,4975,1,0.0,0.21,0.2727272727272727,104.83636363636364,15.0
66,Chemist EU,Yes,No,73,94,22979,6098,1,0.0,0.27,0.2191780821917808,89.57534246575342,16.0
67,Arcane Industries,No,Yes,56,495,22850,6442,9,0.02,0.28,0.34,136.26,17.0
68,Perchemicals Kimya Dis Ticaret Ltd Sti,Yes,Yes,69,67,22665,6096,1,0.0,0.27,0.29411764705882354,125.94117647058823,15.0
69,GB-Chemie GmbH,No,No,317,573,22175,5086,2,0.03,0.23,0.04975124378109453,21.079601990049753,10.0
70,ISIK KIMYA,No,No,46,183,22145,5779,4,0.01,0.26,0.34782608695652173,139.43478260869566,16.0
71,BTC Europe GmbH,No,Yes,1156,806,21301,4194,1,0.04,0.19,0.023510971786833857,9.869905956112852,15.0
72,SoleChem Kimya AS,No,Yes,56,159,20875,5443,3,0.01,0.26,0.3181818181818182,141.5909090909091,14.0
73,distripark GmbH,No,No,64,105,20694,6143,2,0.01,0.3,0.5,216.96875,16.0
74,Quimidroga,No,No,290,95,20590,4624,0,0.0,0.22,0.06666666666666667,26.454545454545453,11.0
75,BOC Sciences,No,No,2017,180,20450,4373,0,0.01,0.2,0.003986048829098156,1.3692077727952168,8.0
76,ARKEM Chemicals,No,Yes,76,509,20366,4680,7,0.02,0.23,0.25,95.7,15.0
77,Brenntag GmbH,No,No,331,443,18567,3939,1,0.02,0.21,0.06018518518518518,23.11574074074074,13.0
78,INTER-HEM DOO,No,No,50,214,18522,4927,4,0.01,0.27,0.2916666666666667,116.5625,14.0
79,GIRON DE LA MASSUERE,No,No,50,17,18503,5606,0,0.0,0.3,0.2916666666666667,123.47916666666667,14.0
80,GLI-THERM SP. Z O.O.,No,Yes,45,35,18078,5024,1,0.0,0.28,0.4642857142857143,225.42857142857142,13.0
81,Oxyde Chemicals Europe,No,No,37,0,18016,4294,0,0.0,0.24,0.3783783783783784,155.83783783783784,14.0
82,Penpet Petrochemical Trading GmbH,No,No,74,314,17809,4275,4,0.02,0.24,0.16129032258064516,76.11290322580645,10.0
83,KTM KİMYEVİ MADDELER İTHALAT İHRACAT SAN. VE TİC. A.S.,No,No,39,279,17785,3652,7,0.02,0.21,0.21212121212121213,86.78787878787878,14.0
84,Penta Chemicals,No,Yes,143,361,17666,3718,3,0.02,0.21,0.12,52.62,12.0
85,J&K Scientific,No,No,148,203,17351,3861,1,0.01,0.22,0.0071174377224199285,2.8622775800711744,20.0
86,Bayegan,No,No,38,0,17342,3666,0,0.0,0.21,0.3333333333333333,125.97435897435898,13.0
87,STOCKMEIER Química S.L.U.,No,No,121,23,17065,3824,0,0.0,0.22,0.09615384615384616,37.52884615384615,10.0
88,K-I Chemicals Europe,No,No,51,0,16543,4957,0,0.0,0.3,0.24,104.74,12.0
89,Bortech,Yes,No,139,60,15879,3564,0,0.0,0.22,0.21568627450980393,85.90196078431373,11.0
90,Prakash Chemicals Europe B.V.,No,No,55,184,15744,4472,3,0.01,0.28,0.2,86.96363636363637,11.0
91,Vichemic Industries,No,No,64,278,15647,3218,4,0.02,0.21,0.15,55.233333333333334,9.0
92,solvadis distribution gmbh,Yes,No,36,100,15497,3128,3,0.01,0.2,0.34210526315789475,120.76315789473684,13.0
93,Count Energy Distribution Ltd,Yes,No,50,284,15492,3294,6,0.02,0.21,0.21153846153846154,78.90384615384616,11.0
94,Waves Chemicals,No,No,65,34,15323,3794,1,0.0,0.25,0.125,61.40625,8.0
95,Prakash Chemicals International Pvt Ltd,No,No,44,208,15279,4304,5,0.01,0.28,0.1896551724137931,82.46551724137932,11.0
96,Arkem Chemicals,No,No,30,200,15237,3294,7,0.01,0.22,0.36666666666666664,147.86666666666667,11.0
97,Balthemis,No,No,20,373,15201,3964,19,0.02,0.26,0.625,322.875,10.0
98,RUBIN KIMYEVI MADDELER SAN TİC.LTD.ŞTİ,No,Yes,55,272,15131,4728,5,0.02,0.31,0.15384615384615385,75.03846153846153,8.0
99,HECCKEM Kimyevi Mad. İth.İhr. San. ve Tic. A.Ş.,No,No,88,261,15008,3355,3,0.02,0.22,0.15789473684210525,59.3859649122807,9.0
100,Ralin B.V.,No,No,52,40,14335,2874,1,0.0,0.2,0.23809523809523808,86.04761904761905,10.0
101,Chemark ApS,No,No,38,95,14333,3350,3,0.01,0.23,0.2564102564102564,106.1025641025641,10.0
102,Ravago Chemicals Austria GmbH,Yes,No,36,113,14142,2943,3,0.01,0.21,0.275,107.525,11.0
103,CHMEO TRADING PVT LTD,No,No,58,159,13723,3134,3,0.01,0.23,0.14545454545454545,63.09090909090909,8.0
104,ESOLL Sp. z o.o.,No,No,24,47,13660,2943,2,0.0,0.22,0.6,225.55,12.0
105,Tradebe Chemicals,No,No,35,199,13637,2769,6,0.01,0.2,0.3235294117647059,123.8529411764706,11.0
106,"Dmitrievsky Chemical Plant – Production, LLC",No,No,23,78,13608,3234,3,0.01,0.24,0.391304347826087,167.43478260869566,9.0
107,Xin Ji Da Pte Ltd,No,No,63,130,13565,2952,2,0.01,0.22,0.11475409836065574,42.80327868852459,7.0
108,DutCH2 B.V.,No,No,27,25,13554,3170,1,0.0,0.23,0.37037037037037035,150.0,10.0
109,EXPOQUIMXEL – INDÚSTRIA DE PRODUTOS QUÍMICOS LDA,No,No,76,8,13485,3725,0,0.0,0.28,0.30303030303030304,143.6969696969697,10.0
110,Sade Chemical,No,No,33,106,13281,3059,3,0.01,0.23,0.25,95.60576923076923,26.0
111,HELM AG,No,No,40,526,13192,2967,13,0.04,0.22,0.4090909090909091,168.13636363636363,9.0
112,CANTON LABORATORIES PVT. LTD,No,No,574,820,13142,3012,1,0.06,0.23,0.0425531914893617,16.95744680851064,6.0
113,Chemnovatic,No,Yes,46,125,13105,3595,3,0.01,0.27,0.2127659574468085,93.17021276595744,10.0
114,PETROL KİMYA SAN. VE TİC. A.Ş.,No,No,34,65,13093,2704,2,0.0,0.21,0.24242424242424243,98.9090909090909,8.0
115,Echemi Solutions GmbH,No,No,132,575,13047,2956,4,0.04,0.23,0.024,14.736,3.0
116,KİMYATİC DIŞ TİCARET LTD.ŞTİ,No,Yes,13,198,13039,3465,15,0.02,0.27,0.7692307692307693,386.53846153846155,10.0
117,Tricura GmbH & Co.KG,No,No,103,267,12800,3843,3,0.02,0.3,0.19148936170212766,77.36170212765957,9.0
118,OQEMA AG,No,Yes,116,0,12723,2998,0,0.0,0.23,0.0274949083503055,11.368635437881874,27.0
119,OQEMA AG,No,Yes,116,0,12723,2998,0,0.0,0.23,0.051224944320712694,21.178173719376392,23.0
120,Narchemicals Kimyevi Mad. San. Tic. Ltd. Sti.,No,No,49,234,12696,3066,5,0.02,0.24,0.17777777777777778,71.73333333333333,8.0
121,OQEMA B.V.,No,No,25,165,12238,3945,7,0.01,0.32,0.4090909090909091,179.77272727272728,9.0
122,Scandichem DK ApS,Yes,No,18,1,12071,3193,0,0.0,0.26,0.5714285714285714,275.85714285714283,8.0
123,Foodcom S.A.,Yes,No,47,27,12049,3313,1,0.0,0.27,0.15217391304347827,76.65217391304348,7.0
124,Stea s.r.l.,No,No,36,171,12032,2486,5,0.01,0.21,0.21621621621621623,83.70270270270271,8.0
125,"ZÜLFİKARLAR HOLDİNG, AKÇA KİMYA",Yes,No,27,7,11887,3177,0,0.0,0.27,0.28,142.68,7.0
126,Radchem Sp.zo.o. Sp.K.,No,No,12,62,11864,2583,5,0.01,0.22,0.7692307692307693,323.2307692307692,10.0
127,KESVI MAXIPLE LLP,No,No,174,199,11845,3751,1,0.02,0.31,0.044585987261146494,20.388535031847134,7.0
128,Petroxim Chemicals by KNP Endustriyel,No,No,17,66,11778,2896,4,0.01,0.25,0.7142857142857143,297.92857142857144,10.0
129,Lily Chemicals Ltd,No,No,40,30,11478,2539,1,0.0,0.22,0.12195121951219512,61.90243902439025,5.0
130,Pranati Associates,No,No,73,74,11435,3399,1,0.01,0.3,0.136986301369863,53.3013698630137,10.0
131,TIGA Chemicals,Yes,No,46,2,11393,3457,0,0.0,0.3,0.25,104.28125,8.0
132,Amon Kimya,No,Yes,19,225,11389,3711,12,0.02,0.33,0.4444444444444444,218.94444444444446,8.0
133,Chemicalbull Pvt Ltd,No,No,246,0,11377,2164,0,0.0,0.19,0.02040816326530612,6.395918367346939,5.0
134,Arpadis Benelux NV,No,No,129,263,11186,2281,2,0.02,0.2,0.056910569105691054,19.447154471544714,7.0
135,WOCHEM KİMYA LİMİTED ŞİRKETİ,No,No,34,191,11055,2832,6,0.02,0.26,0.25,110.03571428571429,7.0
136,"UAB ""Transoila""",No,No,14,145,10986,2527,10,0.01,0.23,0.42857142857142855,224.28571428571428,6.0
137,MCW Müller Chemikalien Wertstoffe GmbH,No,No,20,197,10737,2875,10,0.02,0.27,0.5333333333333333,243.06666666666666,8.0
138,STS Group Chemicals,No,No,75,233,10713,2554,3,0.02,0.24,0.056338028169014086,27.56338028169014,4.0
139,HARKE Chemicals GmbH,No,No,42,346,10674,2803,8,0.03,0.26,0.17647058823529413,87.58823529411765,6.0
140,NOVİNİ KİMYA LİMİTED ŞİRKETİ,Yes,No,35,2,10663,2277,0,0.0,0.21,0.14285714285714285,60.714285714285715,5.0
141,LA-Solution GmbH,No,No,23,170,10411,2185,7,0.02,0.21,0.3888888888888889,163.44444444444446,7.0
