,company,in_trial,has_signed_up,company_top_500_product_count,company_top_500_request_count,total_substance_request_count_based_on_company_substances,total_substance_offers_count_based_on_company_substances,avg_requests_per_product,market_share_requests,market_request_to_offer_cr,Product Density Score,Requests Density Score,Match Count
206,Azelis Deutschland Kosmetik GmbH,No,No,42,95,6461,1865,2,0.01,0.29,0.15625,67.65625,5.0
207,Kowa Europe GmbH,No,No,432,378,6453,1429,1,0.06,0.21,0.010416666666666666,4.045138888888889,3.0
208,Connect Chemicals GmbH,No,Yes,309,619,6447,1539,2,0.1,0.23,0.0064794816414686825,3.4535637149028076,3.0
209,Aldeco Krup SL - Bao Chemicals,No,Yes,20,63,6376,1434,3,0.01,0.22,0.2222222222222222,108.0,4.0
210,Gri Beyaz,No,Yes,190,144,6045,1713,1,0.02,0.28,0.11764705882352941,95.47058823529412,2.0
211,VELVA PC,No,No,16,2,6009,1164,0,0.0,0.19,0.8571428571428571,275.7142857142857,6.0
212,Garzanti Specialties SpA,No,Yes,105,274,5991,1298,3,0.05,0.22,0.06,24.16,3.0
213,Soyventis Europe B.V.,No,Yes,26,38,5990,1396,1,0.01,0.23,0.13043478260869565,54.47826086956522,3.0
214,Хим Органик,No,No,6,0,5941,1361,0,0.0,0.23,0.6666666666666666,282.6666666666667,4.0
215,PCC Trade & Services GmbH,No,No,86,130,5932,1309,2,0.02,0.22,0.1111111111111111,49.72222222222222,4.0
216,Ocean RMC Madencilik Ithalat Ihracat Sanayi Ve Ticaret Anonim Sirketi,No,No,23,18,5927,1736,1,0.0,0.29,0.13043478260869565,86.47826086956522,3.0
217,LIQUICHEM Handelsgesellschaft mbH,No,No,20,53,5887,1121,3,0.01,0.19,0.3333333333333333,115.4,5.0
218,Perfecta Chemie International BV,No,No,10,0,5828,1440,0,0.0,0.25,0.4,161.8,4.0
219,Acril - Nova srl,No,Yes,59,91,5814,1045,2,0.02,0.18,0.08571428571428572,31.02857142857143,3.0
220,Kah Research Chem,No,No,6,0,5781,1075,0,0.0,0.19,0.8333333333333334,309.1666666666667,5.0
221,RENICHEM SL,No,No,19,102,5769,1447,5,0.02,0.25,0.1875,88.4375,3.0
222,Reys Portugal,No,No,18,82,5759,1495,5,0.01,0.26,0.29411764705882354,143.11764705882354,5.0
223,vevet chemicals,No,No,6,0,5706,2038,0,0.0,0.36,0.6,306.6,3.0
224,Irmak Kimya,No,No,7,43,5669,1691,6,0.01,0.3,0.42857142857142855,284.14285714285717,3.0
225,Alma International Trade,No,No,10,9,5538,1368,1,0.0,0.25,0.2727272727272727,151.9090909090909,3.0
226,Scotswood Chemicals Ltd,No,No,16,64,5515,2145,4,0.01,0.39,0.2727272727272727,137.54545454545453,3.0
227,OOO SIBUR,No,No,393,184,5490,953,0,0.03,0.17,0.10869565217391304,28.630434782608695,5.0
228,Faravelli GmbH,No,No,251,260,5439,1087,1,0.05,0.2,0.023076923076923078,6.461538461538462,3.0
229,Brenntag Central & Eastern Europe and Balkan,No,No,312,50,5429,1035,0,0.01,0.19,0.10434782608695652,39.243478260869566,12.0
230,RBH LTD,Yes,No,29,5,5417,1146,0,0.0,0.21,0.07894736842105263,39.6578947368421,3.0
231,Chimtex Ltd.,No,No,25,29,5413,1389,1,0.01,0.26,0.08,56.44,2.0
232,PUHP Solvent Export-Import M.M.Cichońscy Sp.j.,No,No,10,27,5388,1112,3,0.01,0.21,0.5555555555555556,188.66666666666666,5.0
233,Vink Chemicals GmbH & Co. KG,No,Yes,151,185,5373,907,1,0.03,0.17,0.05714285714285714,24.742857142857144,2.0
234,Superior Spirits Ltd,No,No,5,113,5288,1193,23,0.02,0.23,1.0,489.5,4.0
235,"HENAN GP CHEMICALS CO.,LTD",No,No,6,0,5212,1146,0,0.0,0.22,0.5,201.0,3.0
236,Brenntag Iberia and Italy,No,No,228,58,5211,970,0,0.01,0.18,0.09090909090909091,34.18939393939394,12.0
237,Fast Counterfeit Ssd Home,No,No,6,0,5182,1172,0,0.0,0.23,0.5,221.66666666666666,3.0
238,Sümer Petrokimya,No,No,38,21,5154,1494,1,0.0,0.29,0.2,162.3,2.0
239,Bisila Brad,No,No,6,0,5080,882,0,0.0,0.17,0.6666666666666666,251.83333333333334,4.0
240,SENOL Sp. z o.o,No,No,6,6,5028,1352,1,0.0,0.27,0.5,258.3333333333333,3.0
241,Sheri Trading Co,No,No,157,266,4996,1155,2,0.05,0.23,0.03225806451612903,12.451612903225806,1.0
242,Wolf Niemz - Ätherische Öle,No,Yes,1092,76,4974,942,0,0.02,0.16,0.0022026431718061676,0.7455947136563876,2.0
243,ROYAL SERA EKİPMANLARI,No,No,8,20,4948,1948,3,0.0,0.39,0.5,214.625,4.0
244,Vohler Chemicals,Yes,No,12,11,4927,1330,1,0.0,0.27,0.2727272727272727,142.27272727272728,3.0
245,SINOPEC Chemical Commerical holding HONGKONG,No,No,26,32,4877,1037,1,0.01,0.21,0.2,54.55,4.0
246,Dr. Felix Jäger Chemikalienhandel,No,No,9,17,4860,1696,2,0.0,0.35,1.0,308.5,6.0
247,anatolia kimya,No,No,10,101,4857,2007,10,0.02,0.41,0.4444444444444444,193.33333333333334,4.0
248,Fortuna Kimya Mum. Tic. Ltd. Sti.,No,No,11,84,4845,1508,8,0.02,0.31,0.2,162.3,2.0
249,Mercur Handel GmbH,No,Yes,66,386,4795,1128,6,0.08,0.23,0.038461538461538464,14.788461538461538,2.0
250,Vollmer Chemie Vertriebs-GmbH,No,Yes,16,113,4792,1317,7,0.02,0.27,0.5454545454545454,175.0,6.0
251,Mitsui & Co. Deutschland GmbH,No,Yes,10,117,4775,1315,12,0.02,0.28,0.3,153.8,3.0
252,Ektoni Hulgikaubandus OÜ,No,No,6,45,4703,1237,8,0.01,0.26,0.42857142857142855,208.14285714285714,3.0
253,KSAN SIA,No,No,8,29,4641,1182,4,0.01,0.25,0.4444444444444444,177.22222222222223,4.0
254,KRENDALL srl,No,Yes,201,219,4517,792,1,0.05,0.17,0.0070921985815602835,2.7375886524822697,1.0
255,PROPLAST KIMYEVİ MADDELER SAN. TİC. LTD. STI.,No,No,62,333,4507,850,5,0.07,0.19,0.044444444444444446,11.622222222222222,2.0
256,chemiekontor.de,No,No,27,276,4486,1269,10,0.06,0.28,0.1875,80.75,3.0
257,HRS KİMYA,Yes,No,26,3,4485,1680,0,0.0,0.37,0.11538461538461539,39.92307692307692,3.0
258,Kalichem srl,No,No,78,46,4440,1407,1,0.01,0.31,0.03937007874015748,19.8503937007874,5.0
259,Orta Doğu petrokimya sanayi,No,No,4,0,4380,1086,0,0.0,0.25,0.75,357.0,3.0
260,widmann solutions GmbH,Yes,No,46,159,4339,747,3,0.04,0.17,0.06451612903225806,20.0,2.0
261,TER Chemicals – BU Performance Chemicals,No,No,10,18,4317,1099,2,0.0,0.25,0.4,236.2,2.0
262,ECKART GmbH,No,No,108,6,4261,982,0,0.0,0.23,0.18181818181818182,115.9090909090909,2.0
263,ALDROIN SL,No,No,17,279,4258,1147,16,0.07,0.27,0.4,152.4,4.0
264,A-Sense Sp. z.o.o.,No,No,22,5,4225,1154,0,0.0,0.27,0.13043478260869565,54.47826086956522,3.0
265,Nortex  Chemical LLC (Ukraine),No,No,22,28,4215,831,1,0.01,0.2,0.11764705882352941,47.35294117647059,2.0
266,Mpatoam Metal Miners Gh Ltd,No,No,4,0,4203,1061,0,0.0,0.25,0.5,274.0,2.0
267,"Zhejiang ZETian Fine Chemicals Co.,Ltd",Yes,Yes,2037,151,4202,1175,0,0.04,0.19,0.0009852216748768472,0.506896551724138,2.0
268,Konimpex Chemicals Sp. z o.o.,No,No,64,114,4199,934,2,0.03,0.22,0.046511627906976744,19.069767441860463,2.0
269,S. Goldmann GmbH & Co. KG,Yes,No,241,8,4151,1021,0,0.0,0.24,0.020689655172413793,6.386206896551724,3.0
270,Alesta Trade İç ve Dış Ticaret AŞ,No,No,5,62,4125,779,12,0.02,0.19,0.75,238.5,3.0
271,POLSKI KONCERN NAFTOWY ORLEN S.A.,No,Yes,6,46,4096,993,8,0.01,0.24,0.42857142857142855,188.28571428571428,3.0
272,SYNSOL AG,Yes,No,14,37,4092,1401,3,0.01,0.34,0.4,341.6,2.0
273,Fluechem Limited,No,No,3,32,4051,1336,11,0.01,0.33,0.6666666666666666,541.0,2.0
274,JSC Kurana,No,No,5,53,4049,973,11,0.01,0.24,0.75,380.0,3.0
275,GM,No,No,5,33,4049,973,7,0.01,0.24,,,
276,gokgroup polymer,No,No,4,0,4046,1144,0,0.0,0.28,0.5,349.25,2.0
277,Gujarat Metals And Chemicals Company,No,No,10,40,3988,1048,4,0.01,0.26,0.3333333333333333,154.44444444444446,3.0
278,Jobachem Gmbh,No,Yes,94,447,3984,1040,5,0.11,0.26,0.011904761904761904,5.761904761904762,1.0
279,GLOBAL EXPRO,No,No,18,119,3952,1057,7,0.03,0.27,0.16666666666666666,71.72222222222223,3.0
280,CFI World,No,No,2,44,3945,1044,22,0.01,0.26,0.6666666666666666,393.6666666666667,2.0
281,Lesun Chemicals B.V.,No,No,6,0,3929,1145,0,0.0,0.29,1.0,512.6666666666666,3.0
282,BRC Kimyevi Maddeler Sanayi Ticaret A.Ş.,No,No,4,22,3892,1080,6,0.01,0.28,0.75,370.25,3.0
283,TEFNAR,No,No,7,4,3854,694,1,0.0,0.18,0.25,86.625,2.0
284,Perechyn Timber Chemical Plant,No,No,7,22,3777,981,3,0.01,0.26,0.2857142857142857,183.28571428571428,2.0
285,Alfred Kochen GmbH & Co. KG,No,No,24,82,3762,704,3,0.02,0.19,0.05263157894736842,20.31578947368421,1.0
286,INTERPUR CHEMICALS S.L.U,No,No,69,165,3756,676,2,0.04,0.18,0.057692307692307696,15.26923076923077,3.0
287,Jebsen & Jessen Life Science Gmbh,No,No,28,212,3724,972,8,0.06,0.26,0.10344827586206896,35.86206896551724,3.0
288,SIA Tempokem,No,No,29,24,3670,981,1,0.01,0.27,0.03571428571428571,28.392857142857142,1.0
289,Libra Speciality Chemicals,No,No,66,73,3647,1026,1,0.02,0.28,0.05555555555555555,28.583333333333332,2.0
290,Artigum GmbH,No,No,96,173,3638,759,2,0.05,0.21,0.03508771929824561,12.596491228070175,2.0
291,Ursa Sanayi Hammaddeleri Ltd. Şti.,No,No,35,128,3616,688,4,0.04,0.19,0.07142857142857142,24.071428571428573,2.0
292,Newport Industries Ltd,No,No,11,27,3606,971,2,0.01,0.27,0.42857142857142855,179.28571428571428,3.0
293,Innua Europe Ltd,No,No,33,259,3590,979,8,0.07,0.27,0.038461538461538464,30.576923076923077,1.0
294,Benet Dış Ticaret Ltd. Şti.,Yes,No,5,10,3587,1003,2,0.0,0.28,0.75,339.75,3.0
295,VAN DIEMEN CHEMICALS B.V.,No,No,3,0,3556,1121,0,0.0,0.32,0.6666666666666666,449.0,2.0
296,ADKGROUP Mühendislik İç ve Dış Ticaret Ltd. Şti.,No,No,9,6,3520,1033,1,0.0,0.29,0.2222222222222222,113.66666666666667,2.0
297,Cosphatec GmbH,No,No,92,30,3504,828,0,0.01,0.23,0.05555555555555555,21.194444444444443,2.0
298,VETTÓ Kft,No,No,7,24,3476,1051,3,0.01,0.3,1.0,455.0,3.0
299,Crafted Spirits,No,No,3,53,3475,849,18,0.02,0.24,1.0,637.5,2.0
300,Lansin,No,No,2,11,3475,849,6,0.0,0.24,1.0,637.5,2.0
301,Necm kimya Biorad,No,No,2,0,3475,849,0,0.0,0.24,1.0,637.5,2.0
302,Kanami d.o.o,No,No,5,165,3475,849,33,0.05,0.24,0.6666666666666666,425.0,2.0
303,Mac World Industries Ltd,No,No,25,151,3472,834,6,0.04,0.24,0.041666666666666664,22.708333333333332,1.0
304,AUTOCLEAR CHEMICALS LABORATORY,No,No,3,0,3461,918,0,0.0,0.27,1.0,436.6666666666667,3.0
305,Brenntag France and Benelux,No,No,376,41,3446,638,0,0.01,0.18,0.09649122807017543,36.20175438596491,11.0
306,DOUBLE D GROUP LTD.,No,No,11,0,3428,800,0,0.0,0.23,0.18181818181818182,93.18181818181819,2.0
307,Seralgaz Industrial and Medical Gases Corp.,No,No,4,28,3422,1716,7,0.01,0.5,0.5,337.5,2.0
308,Tera Organics,No,No,8,8,3408,668,1,0.0,0.2,0.3333333333333333,129.0,3.0
309,Omya Calcita,No,No,15,16,3381,643,1,0.0,0.19,0.16666666666666666,56.5,2.0
310,Green Miles Chemicals doo,No,No,71,138,3368,523,2,0.04,0.15,0.015151515151515152,3.303030303030303,1.0
311,DECACHEM DOO SERBIA,No,No,72,40,3368,523,1,0.01,0.15,0.014925373134328358,3.253731343283582,1.0
312,KLINTENSIV,No,No,4,0,3354,780,0,0.0,0.23,0.5,256.25,2.0
313,ALMAWATECH GmbH,No,No,14,0,3342,1036,0,0.0,0.31,0.2,107.6,2.0
314,Brenntag DACH,No,No,312,59,3342,633,0,0.02,0.19,0.09649122807017543,36.20175438596491,11.0
315,Brenntag UK and Scandinavia,No,No,311,44,3306,625,0,0.01,0.19,0.09734513274336283,36.52212389380531,11.0
316,Chime S.p.A.,No,No,10,39,3297,1054,4,0.01,0.32,0.2,82.2,2.0
317,Chemos GmbH & Co.KG,No,No,17,124,3288,1147,7,0.04,0.35,0.16666666666666666,111.66666666666667,2.0
318,United Trading System Scandinavia AB,No,No,11,10,3269,862,1,0.0,0.26,0.16666666666666666,90.25,2.0
319,BJ Tricardos SA,No,Yes,5,16,3263,988,3,0.0,0.3,0.4,255.8,2.0
320,Sayverse Dış Ticaret A.Ş.,No,No,6,0,3243,992,0,0.0,0.31,0.2857142857142857,178.42857142857142,2.0
321,Klaus Busche Chemie GmbH,No,No,37,46,3239,968,1,0.01,0.3,0.08333333333333333,39.625,2.0
322,GRANUDAN RELEASE COATS,No,No,5,9,3226,729,2,0.0,0.23,0.3333333333333333,170.83333333333334,2.0
323,SPEX GROUP SP.Z O.O.,No,No,4,0,3184,586,0,0.0,0.18,0.6666666666666666,326.0,2.0
324,Performance Lubricants,No,No,26,92,3177,657,4,0.03,0.21,0.19047619047619047,86.47619047619048,4.0
325,URLI Sp z o.o. (ibioteq),No,No,4,29,3174,909,7,0.01,0.29,0.25,228.25,1.0
326,Klaus F. Meyer GmbH,No,No,115,264,3173,640,2,0.08,0.2,0.018518518518518517,4.722222222222222,2.0
327,Sopolimerprom LLC,No,No,5,14,3173,850,3,0.0,0.27,0.3333333333333333,190.83333333333334,2.0
328,"XinHuiHong International Co., Ltd.",No,No,6,0,3172,692,0,0.0,0.22,0.3333333333333333,119.33333333333333,2.0
329,LA.C.S.A Srl,No,No,9,0,3140,984,0,0.0,0.31,0.2222222222222222,138.77777777777777,2.0
330,www.malaysiachemicalexporters.com,No,No,2,0,3135,919,0,0.0,0.29,1.0,597.0,2.0
331,CHEMION AG,No,No,10,44,3135,575,4,0.01,0.18,0.125,48.25,1.0
332,Keyser&Mackay Poland Sp. z o.o.,No,No,9,36,3109,571,4,0.01,0.18,0.1111111111111111,42.888888888888886,1.0
333,VA Trade GmbH,No,No,3,23,3100,1671,8,0.01,0.54,1.0,675.0,2.0
334,Kimteks Kimya Tekstil ürünleri Tic. A.S.,No,No,8,124,3081,522,16,0.04,0.17,0.125,48.25,1.0
335,Viet Nam Minerals Powder CO Jsc,No,No,3,0,3066,513,0,0.0,0.17,0.5,155.0,2.0
336,ELM Kimya A.S.,No,Yes,68,118,3065,872,2,0.04,0.28,0.16666666666666666,152.16666666666666,1.0
337,Vedra S.R.L.,No,No,3,35,3058,872,12,0.01,0.29,0.6666666666666666,348.6666666666667,2.0
338,Biesterfeld Spezialchemie GmbH,No,Yes,34,5,3046,926,0,0.0,0.3,0.030303030303030304,16.515151515151516,1.0
339,Harold Scholz & Co. GmbH,No,No,80,205,3040,531,3,0.07,0.17,0.06666666666666667,25.733333333333334,1.0
340,Yenipınar kimya ltd.şti,No,No,99,17,2998,532,0,0.01,0.18,0.034482758620689655,13.310344827586206,1.0
341,EKLINGJEE POLYMERS PVT. LTD.,No,No,13,0,2989,549,0,0.0,0.18,0.07142857142857142,27.571428571428573,1.0
342,Medi-clean technologies,No,No,3,0,2987,705,0,0.0,0.24,0.6666666666666666,341.6666666666667,2.0
343,Soujanya Colors,No,No,27,10,2970,514,0,0.0,0.17,0.043478260869565216,16.782608695652176,1.0
344,"Shijiazhuang Xinlongwei Chemical Co., Ltd.",No,No,6,0,2921,589,0,0.0,0.2,0.4,135.8,2.0
345,GUIHUA CHEMICAL  LTD,No,No,16,35,2906,588,2,0.01,0.2,0.125,48.25,1.0
346,LG Hemija d.o.o.,No,No,28,129,2893,472,5,0.04,0.16,0.14285714285714285,55.142857142857146,1.0
347,Nobian Industrial Chemicals BV,No,No,4,41,2892,869,10,0.01,0.3,0.6666666666666666,358.6666666666667,2.0
348,Adakem Chemicals Ltd,Yes,No,44,58,2846,557,1,0.02,0.19,0.0,0.0,0.0
349,Itaprochim SRL,No,No,32,16,2833,545,1,0.01,0.19,0.07142857142857142,27.571428571428573,1.0
350,KESVI MARKETING PRIVATE LIMITED,Yes,No,4,8,2829,1531,2,0.0,0.54,0.6666666666666666,382.3333333333333,2.0
351,Ascot International (1996) Ltd.,No,No,75,189,2808,460,3,0.07,0.16,0.014492753623188406,3.1594202898550723,1.0
352,Meridian Colour UK Ltd.,No,No,4,4,2797,1575,1,0.0,0.56,0.5,308.0,2.0
353,"Thanapom Chemical Co .,ltd",No,No,9,0,2783,618,0,0.0,0.22,0.2,62.2,2.0
354,"Cales de Llierca, S.A.",No,No,9,55,2776,498,6,0.02,0.18,0.16666666666666666,64.33333333333333,1.0
355,Fagron sp. z o.o,No,No,2,34,2748,859,17,0.01,0.31,1.0,600.5,2.0
356,GETEC PARK SWISS AG,No,No,6,56,2736,588,9,0.02,0.21,0.3333333333333333,121.5,2.0
357,IRISEM,Yes,No,14,0,2711,489,0,0.0,0.18,0.08333333333333333,32.166666666666664,1.0
358,Teknova Matbaacilik Kimya Sanayi ve Ticaret A. Ş.,No,No,10,15,2711,489,2,0.01,0.18,0.09090909090909091,35.09090909090909,1.0
359,DCM Shriram Ltd,No,No,3,5,2701,827,2,0.0,0.31,0.6666666666666666,358.6666666666667,2.0
360,Blended Products Ltd,Yes,No,19,4,2628,628,0,0.0,0.24,0.2,82.0,2.0
361,REAKSİYON KİMYA,No,No,55,46,2625,532,1,0.02,0.2,0.0,0.0,0.0
362,IZEL KIMYA SANAYI VE TIC. A.S.,No,No,35,43,2560,474,1,0.02,0.19,0.2222222222222222,58.111111111111114,2.0
363,"CIMAI - Engenharia e Química Avançada, Unipessoal Lda",No,No,2,14,2556,1140,7,0.01,0.45,1.0,458.5,2.0
364,Lapointe Gıda İth. İhr. ve Tic. Ltd. Şti.,No,No,3,37,2537,757,12,0.01,0.3,1.0,483.5,2.0
365,MUMTAZ PETROASİA ITHALAT IHRACAT KİMYA SAN. VE TİC. LTD. ŞTİ,No,No,3,9,2509,791,3,0.0,0.32,0.3333333333333333,304.3333333333333,1.0
366,Kaustik Europe B.V.,No,No,8,62,2505,721,8,0.02,0.29,0.16666666666666666,118.33333333333333,1.0
367,WhitChem Limited,No,No,33,29,2483,465,1,0.01,0.19,0.125,48.25,1.0
368,DKSH,No,No,10,53,2465,670,5,0.02,0.27,0.2,77.2,1.0
369,Otto Brandes GmbH,No,No,72,26,2453,766,0,0.01,0.3,0.013888888888888888,12.680555555555555,1.0
370,Milca Baltija UAB,No,No,2,0,2453,766,0,0.0,0.31,0.5,456.5,1.0
371,EKOS-1,No,No,10,0,2424,535,0,0.0,0.22,0.4,148.6,2.0
372,Titandix Vertriebs GmbH,No,No,12,236,2420,459,20,0.1,0.19,0.2,77.2,1.0
373,Nigtas AS,No,No,43,52,2415,459,1,0.02,0.19,0.14285714285714285,55.142857142857146,1.0
374,DISACHIM,No,No,4,22,2414,855,6,0.01,0.35,0.25,177.5,1.0
375,BEKATA EXPORT IMPORT İNŞ. SAN. VE DIŞ TİC. LTD. ŞTİ.,No,No,4,20,2374,776,5,0.01,0.33,0.3333333333333333,304.3333333333333,1.0
376,UAB Parchemika,No,No,5,55,2340,652,11,0.02,0.28,0.16666666666666666,90.83333333333333,1.0
377,Equilex Chemicals B.V.,Yes,No,21,117,2319,458,6,0.05,0.2,0.10344827586206896,36.0,3.0
378,Sterilco sp. z o.o.,No,No,5,8,2310,665,2,0.0,0.29,0.2,112.6,1.0
379,Chemical Elements GmbH,No,No,3,0,2310,767,0,0.0,0.33,0.5,456.5,1.0
380,Krahn Chemie Deutschland GmbH,No,No,3,10,2305,414,3,0.0,0.18,0.3333333333333333,128.66666666666666,1.0
381,KRAHN CHEMIE POLSKA Sp. z o.o.,No,No,3,11,2305,414,4,0.0,0.18,0.5,193.0,1.0
382,Polbalt sp. z o. o.,No,No,2,44,2278,746,22,0.02,0.33,0.5,456.5,1.0
383,KEYSER MACKAY FRANCE ET COMPAGNIE,No,No,10,36,2264,437,4,0.02,0.19,0.09090909090909091,35.09090909090909,1.0
384,Eplaks Makina Kim.Mad.Ve İTH.İHR.LTD.STİ,No,No,3,25,2254,454,8,0.01,0.2,0.3333333333333333,128.66666666666666,1.0
385,INMATRADE AG,Yes,No,17,2,2232,464,0,0.0,0.21,0.125,35.6875,2.0
386,Covestro Deutschland AG,No,No,4,29,2186,645,7,0.01,0.3,0.25,177.5,1.0
387,Smart Invest Holdings Limited,No,No,2,0,2169,408,0,0.0,0.19,0.5,193.0,1.0
388,Xian Foreign Trade And Economic Development Corp.,No,No,15,0,2162,410,0,0.0,0.19,0.07692307692307693,29.692307692307693,1.0
389,2M-SOLUTION GmbH,Yes,Yes,7,4,2161,738,1,0.0,0.34,0.14285714285714285,130.42857142857142,1.0
390,LaMagna GmbH,No,No,1,19,2161,738,19,0.01,0.34,1.0,913.0,1.0
391,CNTR INTERNATONAL,No,No,1,0,2161,738,0,0.0,0.34,1.0,913.0,1.0
392,M.A.K. Germany GmbH,No,No,2,23,2161,738,12,0.01,0.34,1.0,913.0,1.0
393,Kostov smarthome GmbH,No,No,1,0,2161,738,0,0.0,0.34,1.0,913.0,1.0
394,BR CONSTRUCTION . CO,No,No,1,0,2161,738,0,0.0,0.34,1.0,913.0,1.0
395,Ortega Ubeda SL,No,No,1,0,2161,738,0,0.0,0.34,1.0,913.0,1.0
396,Petroroma,No,No,1,49,2161,738,49,0.02,0.34,0.5,456.5,1.0
397,Poko Resurses,No,No,2,0,2161,738,0,0.0,0.34,1.0,913.0,1.0
398,"Beijing KangpuHuiwei Technology Co., Ltd.",No,No,2,0,2161,738,0,0.0,0.34,0.5,456.5,1.0
399,Inmost Invest,No,No,1,0,2161,738,0,0.0,0.34,1.0,913.0,1.0
400,Azin Supply Dynamic Co.,No,No,1,0,2161,738,0,0.0,0.34,1.0,913.0,1.0
401,Azimut Investments LTD - Italy,Yes,No,1,7,2161,738,7,0.0,0.34,1.0,913.0,1.0
402,Saluna srls,No,No,1,0,2161,738,0,0.0,0.34,1.0,913.0,1.0
403,HMA GLOBAL ENERGY TRADING LLC,No,No,1,0,2161,738,0,0.0,0.34,1.0,913.0,1.0
404,SIDRE,No,No,1,0,2161,738,0,0.0,0.34,1.0,913.0,1.0
405,SJV,No,No,1,0,2161,738,0,0.0,0.34,1.0,913.0,1.0
406,DOST TRADE DIŞ TİCARET LTD . ŞTİ,No,No,1,27,2161,738,27,0.01,0.34,1.0,913.0,1.0
407,SmartRo Concept Industrial,No,No,1,0,2161,738,0,0.0,0.34,1.0,913.0,1.0
408,ARGUS GROUP LOJISTIK GEMI YAPIMI VE DANISMANLIK HIZMETLERI ANONIM SIRKETI,No,No,1,2,2161,738,2,0.0,0.34,1.0,913.0,1.0
409,Strongblue A/S,No,No,2,0,2161,738,0,0.0,0.34,1.0,913.0,1.0
410,TechnoSpetsTrading,No,No,1,0,2161,738,0,0.0,0.34,1.0,913.0,1.0
411,Greenforest,No,No,1,0,2161,738,0,0.0,0.34,1.0,913.0,1.0
412,TUE HANDEL GMBH,No,No,1,0,2161,738,0,0.0,0.34,1.0,913.0,1.0
413,Urealab,No,No,1,0,2161,738,0,0.0,0.34,1.0,913.0,1.0
414,YARD,No,No,1,0,2161,738,0,0.0,0.34,1.0,913.0,1.0
415,Excellerise Solutions AB,No,No,1,0,2161,738,0,0.0,0.34,1.0,913.0,1.0
416,EU AVIATION TECHNOLOGIES B.V.,No,No,1,13,2161,738,13,0.01,0.34,1.0,913.0,1.0
417,Alcotra Europe SA,No,No,4,56,2156,331,14,0.03,0.15,1.0,362.5,2.0
418,Carolus Chemical GmbH,No,Yes,105,21,2145,312,0,0.01,0.14,0.025,12.0,1.0
419,Bozzetto Group,No,No,13,45,2137,710,3,0.02,0.33,0.1111111111111111,88.33333333333333,1.0
420,Protech Enterprise UK,No,No,2,0,2124,506,0,0.0,0.24,1.0,364.5,2.0
421,STENFY CHEM,No,No,27,101,2108,546,4,0.05,0.26,0.0,0.0,0.0
422,Ahmet alkan mühendislik ithalat ihracat ltd şti,No,No,3,0,2107,1207,0,0.0,0.57,0.5,193.25,2.0
423,"Hebei Guanlian New Material Co.,Ltd.",No,No,1,0,2087,402,0,0.0,0.19,1.0,386.0,1.0
424,jowo chemie GmbH,No,No,1,24,2087,402,24,0.01,0.19,1.0,386.0,1.0
425,"Dochem Nanjing International Co., Ltd.",No,No,1,0,2087,402,0,0.0,0.19,0.5,193.0,1.0
426,AISAKOS SA,No,No,1,7,2087,402,7,0.0,0.19,1.0,386.0,1.0
427,Cinkarna Celje d.d.,No,Yes,14,14,2087,402,1,0.01,0.19,0.3333333333333333,128.66666666666666,1.0
428,Unitrade Corporation,No,No,1,1,2087,402,1,0.0,0.19,0.5,193.0,1.0
429,"hebeisenfeng new materials technology co.,ltd",No,No,1,0,2087,402,0,0.0,0.19,1.0,386.0,1.0
430,CONSTAB Polyolefin Additives GmbH,No,No,5,24,2087,402,5,0.01,0.19,0.25,96.5,1.0
431,HCD Chemie Distribution GmbH,No,No,2,2,2087,402,1,0.0,0.19,0.5,193.0,1.0
432,Atul Europe Ltd,No,No,10,33,2076,619,3,0.02,0.3,0.1,71.0,1.0
433,Химпищеаромат (Khimpishchearomat LLC),No,No,4,28,2023,420,7,0.01,0.21,0.25,120.0,1.0
434,Wembley Chemicals and Supplies LTD,No,No,23,20,2000,381,1,0.01,0.19,0.25,71.25,2.0
435,Chem Concept Kft.,No,No,23,29,2000,425,1,0.01,0.21,0.0,0.0,0.0
436,Ertek Kimya Tic. A.Ş.,No,No,3,10,1998,615,3,0.01,0.31,0.3333333333333333,236.66666666666666,1.0
437,Biachem Ltd,Yes,No,2,1,1974,628,1,0.0,0.32,0.5,355.0,1.0
438,LLC UMANHIMTRADE Ukraine,No,No,6,38,1960,687,6,0.02,0.35,0.16666666666666666,132.5,1.0
439,Midas Pharma GmbH,No,No,11,7,1956,666,1,0.0,0.34,0.09090909090909091,72.27272727272727,1.0
440,OQEMA Ukraine LLC,No,No,63,86,1948,504,1,0.04,0.26,0.07142857142857142,35.57142857142857,1.0
441,Adityapur Dies,No,No,7,13,1943,603,2,0.01,0.31,0.16666666666666666,118.33333333333333,1.0
442,ATUN KIMYA SAN.TIC.LTD.STI.,No,No,8,7,1942,476,1,0.0,0.24,0.125,70.375,1.0
443,"Macco Organiques, s.r.o.",No,No,13,61,1940,366,5,0.03,0.19,0.06666666666666667,19.2,1.0
444,QMEA Chemical Solutions,No,No,30,7,1937,275,0,0.0,0.14,0.03333333333333333,7.733333333333333,1.0
445,JSC KAUSTIK,No,No,2,27,1934,608,14,0.01,0.31,0.5,355.0,1.0
446,WESP KFT,No,No,3,9,1932,431,3,0.0,0.22,0.3333333333333333,166.0,1.0
447,chem 2004 cv,No,No,2,0,1926,662,0,0.0,0.34,0.5,397.5,1.0
