company_mart.name,company_mart.deleted_week,company_mart.registration_week
deleted_Addivant,2020-08-31,2018-11-05
Tech Anugrah Private Limited,,2018-11-05
Concentrol,,2018-11-05
deleted_TECNICA LAMBERT,2020-08-31,2018-11-05
Blue Bear Chemicals Bv,,2018-11-05
Industrias Quimicas Induquim S.L.,,2018-11-05
deleted_KI finance GmbH,2020-08-31,2018-11-05
deleted_Test company,2020-08-31,2018-11-05
M2I Life Sciences,,2018-11-05
ILERSPRAY,,2018-11-05
Europigments SL,,2018-11-05
deleted_Test GmbH,2020-08-31,2018-11-05
Jiahua Europe Ltd,,2018-11-05
Allnex Latvia SIA,,2018-11-05
deleted_MIKhemist,2020-08-31,2018-11-05
Kemetyl Nederland BV,,2018-11-05
Harke Chemicals,,2018-11-05
deleted_Oqema Ag - 1,2020-08-31,2018-11-05
Mavro International,,2018-11-05
deleted_Asellion,2020-08-31,2018-11-05
deleted_OQEMA GmbH-1,2020-08-31,2018-11-05
Hüttenes-Albertus Chemische Werke GmbH,,2018-11-12
deleted_Quaternia s.l.,2022-11-28,2018-11-12
deleted_Huss,2020-08-31,2018-11-12
"3E Akantos Tratos, S.L.",,2018-11-12
Imcd France,,2018-11-12
deleted_SP,2020-08-31,2018-11-12
Gbr Technology Limited,,2018-11-12
SAIPOL,,2018-11-12
deleted_Imcd-France,2020-08-31,2018-11-12
deleted_Four Leaf Communications,2020-08-31,2018-11-12
deleted_Don Marten Ltd,2020-08-31,2018-11-12
deleted_Viklins International,2020-08-31,2018-11-12
Gases Research Innovation & Technology SL,,2018-11-12
Carl Warrlich Gmbh,,2018-11-12
Air Liquide France,,2018-11-12
Afer Industrie,,2018-11-12
LAPI CHIMICI SRL,,2018-11-12
"FOSROC-EUCO, S.A.",,2018-11-12
Meghna Colour Chem,,2018-11-12
deleted_Testcompany,2020-08-31,2018-11-12
Symrise AG,,2018-11-12
Cores Resine Srl,,2018-11-12
Inventec Performance Chemicals,,2018-11-12
deleted_Indotan Chemicals Limited,2020-08-31,2018-11-12
deleted_delete_ML LAB SRL,2020-11-02,2018-11-12
deleted_Rajkurmar Agronet PVT,2020-08-31,2018-11-12
Air Products,,2018-11-12
Classco S.R.L,,2018-11-12
Giuseppe Di Maria S.p.A.,,2018-11-12
SpaChem Limited,,2018-11-12
"Laiex, S.L.",,2018-11-12
deleted_Idrosoluzioni srl,2020-08-31,2018-11-12
ERREDUE,,2018-11-12
distripark GmbH,,2018-11-12
Mediterranea de agroquimicos,,2018-11-12
deleted_Nasca Ltd.,2020-08-31,2018-11-12
Budenheim Iberica,,2018-11-12
delete295,2019-01-14,2018-11-19
deleted_FCV SYSTEM di Corvasce Vincenzo & C,2020-08-31,2018-11-19
delete _LEHVOSS FRANCE SARL,,2018-11-19
deleted_Azienda Agricola Carini,2020-08-31,2018-11-19
deleted_biotrap,2020-08-31,2018-11-19
"Química Verde Masul, S.L.L.",,2018-11-19
TORGGLER CHIMICA SPA,,2018-11-19
Water Treatment Products,,2018-11-19
deleted_GoBiz di Roldano Zappalà,2020-08-31,2018-11-19
Easy Cleaning Solutions Ltd,,2018-11-19
deleted_Emil Otto GmbH,2020-08-31,2018-11-19
deleted_Treekmann,2020-08-31,2018-11-19
deleted_Veneri Massimo,2020-08-31,2018-11-19
Interchem B.V.,,2018-11-19
BUZIL-WERK Wagner GmbH & Co. KG,,2018-11-19
deleted_KI TEST Company,2020-08-31,2018-11-19
Mosselman SA,,2018-11-19
deleted_el,2020-08-31,2018-11-19
deleted_gap,2020-08-31,2018-11-19
Fiorio,,2018-11-19
Quantonics Crystals,,2018-11-19
Kraeber & Co,,2018-11-19
deleted_MARR di Sappia Roberto,2020-08-31,2018-11-19
deleted_PHARMACIE DE SAINT LEGER,2020-08-31,2018-11-19
Heinrich van Megen KG,,2018-11-19
deleted_Emisa3 iniciatives s.l.,2020-08-31,2018-11-19
Fire Assay SL,,2018-11-19
B SAILS,,2018-11-19
Ultima Direct LTD,,2018-11-19
_deleted-PCC Specialties GmbH,2019-07-22,2018-11-19
Mercur Handel GmbH,,2018-11-19
ASPOL QUIMICA INTERNACIONAL SL,,2018-11-19
"ATANOR PRODUCTOS QUÍMICOS, SA",,2018-11-19
deleted_iGreen srl,2020-08-31,2018-11-19
deleted_OUGOTOUMATERIO,2020-08-31,2018-11-19
deleted_Global FT- Food Technology,2020-08-31,2018-11-19
deleted_Rocket Science,2020-08-31,2018-11-26
deleted_deleted_certus projektmanagement gmbh-blocked by CheMondis,2021-12-06,2018-11-26
Air Liquide Italy,,2018-11-26
deleted_test400,2020-08-31,2018-11-26
Kreglinger Europe,,2018-11-26
deleted_Test398,2020-08-31,2018-11-26
deleted_Misha GmbH,2020-08-31,2018-11-26
Zanolo spa,,2018-11-26
Brenntag Austria GmbH,,2018-11-26
deleted_ENSYSTEX EUROPE,2020-08-31,2018-11-26
deleted_OSNOVA Chemical Factory Ltd,2020-08-31,2018-11-26
BG OLEO CHEMICALS,,2018-11-26
deleted_SIR INDUSTRIALE,2022-02-28,2018-11-26
Wrimes Cosmetics Ltd,,2018-11-26
deleted_creatino,2020-08-31,2018-11-26
alxyon srl,,2018-11-26
deleted_N. D.,2020-08-31,2018-11-26
SAS DIEX,,2018-11-26
Entalpia Europe sp. zo.o.,,2018-11-26
deleted_miceriumlab srl,2020-08-31,2018-11-26
deleted_Dalla Torre Corporation,2020-08-31,2018-11-26
Cleprin srl,,2018-11-26
deleted_zetacom.tv,2020-08-31,2018-11-26
deleted_Lab Corral,2020-08-31,2018-11-26
Ichem S.r.l.,,2018-11-26
deleted_ACTiVE SPyRIT,2020-08-31,2018-11-26
CHEMILUBRIC ENERGY,,2018-11-26
Falis s.n.c,,2018-11-26
deleted_OC,2020-08-31,2018-11-26
deleted_test397,2020-08-31,2018-11-26
deleted_TestVladimir,2020-08-31,2018-11-26
deleted_maxmillian,2020-08-31,2018-11-26
DETERGENTES Y DESINFECTANTES SA,,2018-11-26
SINCHEM EUROPE SAS,,2018-11-26
deleted_test Mathieu,2020-08-31,2018-11-26
deleted_Institut de Prevencio Genetica de Barcelona,2020-08-31,2018-11-26
deleted_Keytech Srl,2020-08-31,2018-11-26
deleted_Deepak Fertiliser And Petrochemicals Corporation Limited,2020-08-31,2018-12-03
Kimya asrl,,2018-12-03
turboden spa,,2018-12-03
Jorenku A/S,,2018-12-03
deleted_bvba dr. Jan Beunk Cardioloog Urgentiearts,2020-08-31,2018-12-03
VICCOR INDUSTRY,,2018-12-03
Exun Biocell Pvt Ltd,,2018-12-03
BI-QEM SA,,2018-12-03
deleted_test429,2020-08-31,2018-12-03
Chempoint Emea,,2018-12-03
deleted_test426,2020-08-31,2018-12-03
deleted_libella srl,2020-08-31,2018-12-03
deleted_Schmidt GmbH,2020-08-31,2018-12-03
Ffchemicals,,2018-12-03
deleted_MAQLAVAND,2020-08-31,2018-12-03
Dcm Coatings,,2018-12-03
Incometal Nuova s.r.l.,,2018-12-03
deleted_Coswell,2020-08-31,2018-12-03
deleted_delete_Arpadis,2021-01-18,2018-12-03
Preparados Quimicos De Navarra S.L.,,2018-12-03
deleted_FAKHEUR,2020-08-31,2018-12-03
carlos grollo s.a.,,2018-12-03
deleted_lancellottirestauro,2020-08-31,2018-12-03
AmphoChem AB,,2018-12-03
deleted_delete_Drogas Vigo Group,2020-08-31,2018-12-03
deleted_Elite Ambiente Srl,2020-08-31,2018-12-03
deleted_Impress Surfaces GmbH,2022-01-03,2018-12-03
deleted_test425,2020-08-31,2018-12-03
Becker Farby Przemysłowe Sp. Z O.O,,2018-12-10
SHR Germany GmbH,,2018-12-10
deleted_Tc-Tungsten Compounds Gmbh,2022-10-03,2018-12-10
deleted_test444,2020-08-31,2018-12-10
Wimos GmbH,,2018-12-10
deleted_Mondial Color Srl,2020-08-31,2018-12-10
deleted_Aliaxis,2020-08-31,2018-12-10
deleted_Chemondis,2020-08-31,2018-12-10
deleted_SODEMIN,2020-08-31,2018-12-10
deleted_Estudio El Gallinero,2020-08-31,2018-12-10
deleted_SETTA VILNIUS,2020-08-31,2018-12-10
deleted_Bird,2020-08-31,2018-12-10
deleted_Walter,2020-08-31,2018-12-10
deleted_White Rose Partners,2020-08-31,2018-12-10
SureSet UK Ltd.,,2018-12-10
Tutor S.R.L.,,2018-12-10
"deleted_Delete_Adhesivos Gimpex, S.L.",2020-10-19,2018-12-10
Anjani Ceramics,,2018-12-10
deleted_Quadra Chemicals,2020-08-31,2018-12-10
Verday Solutions Sl,,2018-12-10
Silco D.O.O.,,2018-12-10
ADVENT DYES AND CHEMICALS,,2018-12-10
deleted_PETER / LACKE GmbH,2020-08-31,2018-12-10
Italmatch Chemicals Spa,,2018-12-17
deleted_Hasanchem,2020-08-31,2018-12-17
Kraussmaffei Technologies Gmbh,,2018-12-17
"Unicosrom, S.L.",,2018-12-17
Agc Chemcials Europe Ltd,,2018-12-17
deleted_Kibo Medical Supplies Cc,2020-08-31,2018-12-17
deleted_Sk University,2020-08-31,2018-12-17
deleted_Fedef Srls,2020-08-31,2018-12-17
deleted_Alvaro Boo,2020-08-31,2018-12-17
Lehmann&Voss&Co. Kg,,2018-12-17
J&K Scientific,,2018-12-17
Helix Squared P.C.,,2018-12-17
deleted_Gerencia Y Optimización De Recursos,2020-08-31,2018-12-17
deleted_Hasanchemi,2020-08-31,2018-12-17
Quimidroga,,2018-12-17
Italchimica Srl,,2018-12-17
BÜFA Chemikalien GmbH & Co. KG,,2018-12-17
Hero Fire Gmbh,,2018-12-24
deleted_Npt,2020-08-31,2018-12-24
deleted_Tcs Industry Limited,2020-08-31,2018-12-24
deleted_Pars Drilling Company,2020-08-31,2018-12-24
deleted_Barraud Patrice,2020-08-31,2018-12-24
Ravago Chemicals Spain Sa,,2018-12-24
deleted_1989,2020-08-31,2018-12-31
deleted_Euro Mega Lab,2020-08-31,2018-12-31
Arcane Industries,,2018-12-31
deleted_Dattashri Enterprises,2020-08-31,2018-12-31
deleted_Ccpc,2020-08-31,2018-12-31
deleted_Gescas Spain,2020-08-31,2019-01-07
Productos Disiclin S.A.,,2019-01-07
deleted_Sirio Pelli Srl,2020-08-31,2019-01-07
