,Spieler,Tore,Torvorlage,Progressive Pässe,Rückpässe,seitliche Pässe,lange Pässe,kurze Pässe,Dribbeln,Grätschen,Abfangen,Zweikämpfe,Blocks,Schüsse,Ballberührungen im 16er,erlittene Fouls,Flanken,clevere Pässe,Progressive Läufe,Besschleunigungen,erhaltene Pässe,Angriffsläufe,Fouls,Kmeans_4_clusters,Kmeans_8_clusters,k_medions_4_clusters,k_medions_8_clusters,Hierarchical_clustering_4_clusters,Hierarchical_clustering_8_clusters
54,R. Bensebaini,1.066456095,1.135718894,0.958130976,1.022715973,0.109526712,0.579094915,0.609472721,-0.20348526,2.004915693,1.253181744,0.11189964,0.328122385,0.365205997,0.376007093,0.508284176,0.619444283,0.693338678,-0.118130593,-0.099797035,0.744474107,-0.751439411,0.62625299,3,6,0,0,0,0
55,N. Amiri,-0.423548756,-0.234987712,0.202560808,1.586964502,0.285940472,-0.407310995,0.771245637,0.705918158,0.879536381,0.216373775,-0.398009722,-0.578680996,0.926361357,0.376007093,0.813932932,0.176680131,1.613822835,0.542881696,1.341202784,0.865879056,1.318779125,-0.031858596,2,6,3,3,0,0
56,X. Schlager,-0.423548756,0.292207137,0.025029683,-0.282571668,0.013529861,-0.0462875,-0.060777228,-0.094171708,-0.080238513,0.077427153,0.638610926,-0.529523067,0.563270218,0.206046441,0.200084471,-0.523913386,1.488693032,-0.118130593,0.766022275,-0.49214034,0.233258178,0.874217873,3,3,0,0,1,5
57,C. Baumgartner,1.749374985,0.397646106,-0.918964304,0.431154469,-0.976040535,-1.131786058,-0.638513353,0.637596718,1.226101089,-0.778452898,1.205408312,-0.197441652,1.611521609,1.472984953,0.813932932,-0.489453163,0.372208806,0.2738658,0.937324347,-0.380956357,0.233258178,1.382103186,1,3,1,1,3,1
58,F. Grillitsch,-0.733966433,-0.340426681,0.661689452,1.234667098,1.606853987,0.857877538,1.376582377,-0.451908149,2.326289033,0.964869068,-0.223572282,-0.151630688,-0.603543791,-0.911255368,0.777276411,-0.811013452,0.439290869,0.263730064,0.062817202,1.145529258,0.675023669,-0.489369038,3,6,2,2,0,0
59,L. Alario,2.37021034,-0.024109772,-1.952773049,0.385190512,-1.323653833,-1.03732446,-1.231085132,-0.251641962,1.477928842,-1.691836954,1.032635611,-0.678364507,1.879693756,1.719741975,-0.092110969,-0.706193213,0.068768255,-1.172877193,-1.457304352,-1.343739703,1.236164833,0.578017904,1,2,1,1,3,1
60,J. Tah,-0.733966433,-0.340426681,1.940186178,0.453825202,2.180380787,1.433807142,2.163801319,-1.050231,-0.181644342,1.501350804,-0.563175905,0.957481393,-1.258232276,-1.133146472,-1.310214195,-1.132953167,-0.928086332,-0.551122651,-1.534004337,2.122303943,-0.650954357,0.024174543,0,5,2,6,2,2
61,T. Adams,-0.733966433,-0.76218256,0.776989633,1.494897763,0.713336663,-0.073896296,1.333356438,-0.662648244,-0.560907308,0.495580382,-0.268476742,-0.578680996,-0.635742194,-0.346046949,0.548115154,-0.080994695,0.898997832,-0.551122651,-0.177083155,1.256853283,0.018363275,-0.727938274,3,6,0,2,0,0
62,M. Arnold,0.011035993,1.452035803,0.396051006,0.460265193,0.333591677,1.265057683,0.040967786,-0.807525155,-1.115798709,0.126075193,-0.585462306,-0.290250085,0.93501073,-0.846783664,1.224050771,0.10295616,0.01182468,-0.551122651,-0.475225759,0.031936635,0.308048439,0.62625299,3,1,0,0,0,0
63,M. Hinteregger,0.818121953,-0.445865651,1.53628411,-0.879639651,0.3750084,1.924988294,0.462593584,-0.507548548,0.559354886,1.327048021,-0.125456593,1.453612469,0.20849629,0.122914095,-0.240355399,-0.41138148,-0.749153746,-0.30043589,-0.546206199,0.40087986,-0.458746162,-0.26409428,0,5,2,6,2,2
64,K. Demirbay,-0.423548756,0.924840955,1.08412432,1.473494953,0.843947634,0.837290276,1.314462461,0.211957983,0.879536381,0.469035521,0.178075991,0.244015114,0.709238241,-0.150085044,-0.028353843,-0.017691353,1.143961891,0.363371532,-0.192809736,1.324739004,0.176028391,0.169907795,3,6,3,3,0,0
65,J. Weigl,-0.237298149,-0.76218256,0.773666776,0.287220251,2.210570621,0.719908916,1.7694795,-1.099129708,1.260713556,0.112902119,-1.398882058,-1.042554489,-0.302535744,-1.005247431,-0.36056887,-1.181373237,-0.398764495,-1.652423036,-0.850427043,1.711047257,-0.063395709,-1.053465928,0,5,2,6,2,2
66,L. Waldschmidt,2.183959733,-0.76218256,-0.803279179,-0.348236365,-0.776385886,-1.613996114,-0.604827111,0.276275722,-0.055327211,-1.130591125,-0.671384501,0.244015114,1.531235595,1.080152082,-0.672686032,-0.744830702,0.884773786,-0.416209991,-0.372139286,-0.568600825,0.470358973,-0.324298768,1,2,1,4,3,1
67,R. Koch,-0.547715826,-0.76218256,0.704769628,-0.575535562,1.190964934,1.136782261,0.599578686,-1.449414399,-0.312555818,0.566227396,-0.787537818,1.139965167,-0.137948078,-0.240953301,-0.871491748,-1.197789567,-1.090594369,-0.859188133,-1.239482813,0.525382972,-0.389467187,-0.639548742,0,5,2,6,2,2
