,Date,Time,Open,High,Low,Last,ATR,FractalSell,FractalWk,OpenTrade,StopLoss,TakeProfit,Close Trade,OpenTradeNew,StoplossNew,TakeProfitNew,CloseTradeNew
30, '2008/6/30', '00:00:00.0',1.9947,2.00069,1.97948,1.9823,0.0361,0.0,1.94019,2.05389,1.94019,6.16167,0.0,2.05389,1.94019,6.16167,0.0
31, '2008/7/7', '00:00:00.0',1.98255,1.99604,1.96492,1.98864,0.0357,0.0,1.94019,2.05389,1.94019,6.16167,0.0,2.05389,1.94019,6.16167,0.0
32, '2008/7/14', '00:00:00.0',1.98966,2.01583,1.98124,1.99914,0.03546,0.0,1.94019,2.05389,1.94019,6.16167,0.0,2.05389,1.94019,6.16167,0.0
33, '2008/7/21', '00:00:00.0',1.99824,2.00765,1.9817,1.9916,0.03544,0.0,1.94019,2.05389,1.94019,6.16167,0.0,2.05389,1.94019,6.16167,0.0
34, '2008/7/28', '00:00:00.0',1.99144,1.99681,1.97271,1.97537,0.03481,0.0,1.94019,2.05389,1.94019,6.16167,0.0,2.05389,1.94019,6.16167,0.0
35, '2008/8/4', '00:00:00.0',1.97425,1.97628,1.91471,1.92105,0.03571,0.0,1.94019,2.05389,1.94019,6.16167,-0.11369999999999991,2.05389,1.94019,6.16167,-0.11369999999999991
36, '2008/8/11', '00:00:00.0',1.91226,1.92554,1.85129,1.86569,0.03726,0.0,1.94019,1.91226,1.94019,1.8564,0.02793000000000001,1.91226,1.94019,1.8564,0.02793000000000001
37, '2008/8/18', '00:00:00.0',1.86422,1.8794,1.85056,1.85266,0.03652,0.0,1.94019,1.86422,1.94019,1.7122799999999998,0.07597000000000009,1.86422,1.94019,1.7122799999999998,0.07597000000000009
38, '2008/8/25', '00:00:00.0',1.85066,1.85899,1.81732,1.82087,0.03687,0.0,1.94019,1.85066,1.94019,1.6715999999999998,0.08953000000000011,1.85066,1.94019,1.6715999999999998,0.08953000000000011
39, '2008/9/1', '00:00:00.0',1.81513,1.81531,1.75384,1.76649,0.03778,0.0,1.94019,1.81513,1.94019,1.5650099999999996,0.12506000000000017,1.81513,1.94019,1.5650099999999996,0.12506000000000017
40, '2008/9/8', '00:00:00.0',1.77879,1.79752,1.74456,1.79343,0.03842,1.7435,1.7435,1.77879,1.7435,1.8493700000000002,0.0,1.77879,1.7435,1.8493700000000002,0.0
41, '2008/9/15', '00:00:00.0',1.80655,1.83876,1.77356,1.83149,0.03944,0.0,1.7435,1.77879,1.7435,1.8493700000000002,0.0,1.77879,1.7435,1.8493700000000002,0.0
42, '2008/9/22', '00:00:00.0',1.83344,1.86687,1.82632,1.8445,0.03961,0.0,1.7435,1.77879,1.7435,1.8493700000000002,0.07058000000000009,1.77879,1.7435,1.8493700000000002,0.07058000000000009
43, '2008/9/29', '00:00:00.0',1.83552,1.83694,1.7551,1.77139,0.04094,0.0,1.7435,1.83552,1.7435,2.0195600000000002,0.0,1.83552,1.7435,2.0195600000000002,0.0
44, '2008/10/6', '00:00:00.0',1.76864,1.77194,1.67934,1.70524,0.04269,0.0,1.7435,1.83552,1.7435,2.0195600000000002,-0.09201999999999999,1.83552,1.7435,2.0195600000000002,-0.09201999999999999
45, '2008/10/13', '00:00:00.0',1.71517,1.7631,1.69273,1.72824,0.04324,0.0,1.7435,1.71517,1.7435,1.6585100000000002,0.028329999999999966,1.71517,1.7435,1.6585100000000002,0.028329999999999966
46, '2008/10/20', '00:00:00.0',1.7313,1.7519,1.52657,1.59216,0.0493,1.52206,1.52206,1.7313,1.52206,2.1497800000000002,0.0,1.7313,1.52206,2.1497800000000002,0.0
47, '2008/10/27', '00:00:00.0',1.58148,1.66733,1.528,1.60765,0.05289,0.0,1.52206,1.7313,1.52206,2.1497800000000002,0.0,1.7313,1.52206,2.1497800000000002,0.0
48, '2008/11/3', '00:00:00.0',1.6083,1.64002,1.55357,1.5643,0.05476,0.0,1.52206,1.7313,1.52206,2.1497800000000002,0.0,1.7313,1.52206,2.1497800000000002,0.0
49, '2008/11/10', '00:00:00.0',1.58171,1.58851,1.45589,1.47379,0.05785,1.45324,1.45324,1.7313,1.52206,2.1497800000000002,-0.2092400000000001,1.7313,1.52206,2.1497800000000002,-0.2092400000000001
50, '2008/11/17', '00:00:00.0',1.46531,1.52492,1.46484,1.49246,0.05869,0.0,1.45324,1.46531,1.45324,1.4894499999999995,0.024139999999999606,1.46531,1.45324,1.4894499999999995,0.024139999999999606
51, '2008/11/24', '00:00:00.0',1.49221,1.55369,1.48406,1.53694,0.05987,0.0,1.45324,1.49221,1.45324,1.57015,0.0,1.49221,1.45324,1.57015,0.0
52, '2008/12/1', '00:00:00.0',1.53654,1.53986,1.44698,1.46907,0.06189,1.44512,1.44512,1.49221,1.45324,1.57015,-0.03896999999999995,1.49221,1.45324,1.57015,-0.03896999999999995
53, '2008/12/8', '00:00:00.0',1.47358,1.51164,1.46793,1.4953,0.06245,0.0,1.44512,1.47358,1.44512,1.5304999999999997,0.0,1.47358,1.44512,1.5304999999999997,0.0
54, '2008/12/15', '00:00:00.0',1.49562,1.57233,1.48123,1.49199,0.06416,0.0,1.44512,1.47358,1.44512,1.5304999999999997,0.05691999999999986,1.47358,1.44512,1.5304999999999997,0.05691999999999986
55, '2008/12/22', '00:00:00.0',1.49524,1.49923,1.45774,1.45839,0.06497,0.0,1.44512,1.49524,1.44512,1.5954799999999998,0.0,1.49524,1.44512,1.5954799999999998,0.0
56, '2008/12/29', '00:00:00.0',1.46615,1.47717,1.43517,1.4548,0.06517,1.43433,1.43433,1.49524,1.44512,1.5954799999999998,-0.05011999999999994,1.49524,1.44512,1.5954799999999998,-0.05011999999999994
57, '2009/1/5', '00:00:00.0',1.45394,1.5374,1.44309,1.51629,0.06701,0.0,1.43433,1.45394,1.43433,1.4931599999999998,0.03921999999999981,1.45394,1.43433,1.4931599999999998,0.03921999999999981
58, '2009/1/12', '00:00:00.0',1.51399,1.51522,1.44693,1.47325,0.06822,0.0,1.43433,1.51399,1.43433,1.6733099999999996,0.0,1.51399,1.43433,1.6733099999999996,0.0
59, '2009/1/19', '00:00:00.0',1.48319,1.49094,1.35024,1.37964,0.07168,1.34743,1.34743,1.51399,1.43433,1.6733099999999996,-0.07965999999999984,1.51399,1.43433,1.6733099999999996,-0.07965999999999984
60, '2009/1/26', '00:00:00.0',1.37324,1.45438,1.35482,1.45406,0.07429,0.0,1.34743,1.37324,1.34743,1.4248600000000002,0.05162000000000022,1.37324,1.34743,1.4248600000000002,0.05162000000000022
61, '2009/2/2', '00:00:00.0',1.44729,1.4844,1.40519,1.47862,0.07589,0.0,1.34743,1.44729,1.34743,1.64701,0.0,1.44729,1.34743,1.64701,0.0
