Timestamp,Gender,Location,Age,Qualification,field_of_study,Purpose_for_chilla,Experience,Age1,What are you?,Latitude,Longitude,Blood group ,Network,Prepaid or Postpaid,System,Weight,Height,Glasses,First line of code,Programming language,Marital Status,Coding Hours,Vaccinated,Load shedding,Area
1/4/22 18:08,Male,Pakistan,21-25,Bachelors,CS/IT,to boost my skill set,1.5,23,Student,31.9765,74.222,A+,Mobilink,Prepaid,Apna Laptop,60.2,170.688,Yes,>3 years ago,Python,No,2,Yes,0,Urbun
1/4/22 18:08,Male,Pakistan,21-25,Pre-Bachelors,Enginnering,to boost my skill set,0,23,Employed,32.2469,72.77261,O+,Telenor,Prepaid,Desktop,75,168,No,>3 years ago,Python,No,2,Yes,1,Rural
1/4/22 18:08,Male,Pakistan,21-25,Bachelors,CS/IT,to boost my skill set,1,23,Student,33,73,B+,Mobilink,Prepaid,Apna Laptop,70.85,160.52,No,<3 years ago,C#,No,1,Yes,1,Urbun
1/4/22 18:07,Male,Pakistan,21-25,Pre-Bachelors,CS/IT,Switch my field of study,1,23,Student,33.60933,73.04269,B-,Mobilink,Prepaid,Apna Laptop,85,162.56,Yes,>3 years ago,Python,No,2,Yes,5,Urbun
1/4/22 18:09,Male,Pakistan,21-25,Pre-Bachelors,Enginnering,to boost my skill set,0,23,Student,34.3331,75.7139,B+,Zong,Prepaid,Kisi ka laptop,55,5.7,No,In this chilla,Others,No,1,Yes,8,Rural
1/4/22 18:09,Male,Pakistan,21-25,Masters,Others,to boost my skill set,1.2,22.9,Student,33.626057,73.071442,A+,Zong,Prepaid,Apna Laptop,7,167,No,In this chilla,Python,No,5,Yes,3,Urbun
1/4/22 18:56,Male,Pakistan,21-25,Bachelors,CS/IT,to boost my skill set,0,22.8,Employed,33.541195,73.1484287,O+,Mobilink,Prepaid,Apna Laptop,60,1.68,No,>3 years ago,Python,No,0,Yes,0,Urbun
1/4/22 18:03,Male,Pakistan,21-25,Pre-Bachelors,Enginnering,to boost my skill set,1,22.5,Student,33.5651,73.0169,O+,Mobilink,Prepaid,Apna Laptop,63,178.2,No,<3 years ago,Python,No,1,Yes,1,Urbun
1/4/22 18:03,Male,Pakistan,21-25,Bachelors,CS/IT,to boost my skill set,0.5,22.2,Unemplyed,31.5822,74.3292,O+,Zong,Prepaid,Apna Laptop,76.8,1.75,No,>3 years ago,Python,No,3,Yes,0,Rural
1/4/22 18:13,Female,Pakistan,21-25,Pre-Bachelors,Business/Economics,Switch my field of study,0,22,Student,24.884082,67.080575,B+,Zong,Prepaid,Apna Laptop,64,160,Yes,In this chilla,Python,Yes,3,Yes,0,Urbun
