Timestamp,Gender,Location,Age,Qualification,field_of_study,Purpose_for_chilla,Experience,Age1,What are you?,Latitude,Longitude,Blood group ,Network,Prepaid or Postpaid,System,Weight,Height,Glasses,First line of code,Programming language,Marital Status,Coding Hours,Vaccinated,Load shedding,Area
1/4/22 18:05,Male,East,26-30,PhD,Business/Economics,to boost my skill set,4,27,Student,34.24140488,108.9749747,A+,International,Prepaid,Desktop,104.5,1.73,Yes,In this chilla,Python,Yes,2,Yes,0,International
1/4/22 18:05,Male,Pakistan,26-30,Masters,Biology,to boost my skill set,5,27,Student,35.2227,72.4258,O+,Telenor,Prepaid,Apna Laptop,55.5,176.7,No,>3 years ago,Python,No,1,Yes,0,Rural
1/4/22 18:05,Male,Pakistan,26-30,Masters,Enginnering,to boost my skill set,1,27,Student,37.5,23.5,AB+,Zong,Prepaid,Apna Laptop,61.5,45.5,No,In this chilla,Python,No,4,Yes,5,Urbun
1/4/22 18:03,Male,West,26-30,Bachelors,CS/IT,to boost my skill set,4,27,Student,50.7738464,6.1122471,AB+,International,Prepaid,Apna Laptop,100,187,No,>3 years ago,Python,Yes,3,Yes,0,International
1/4/22 18:23,Male,Pakistan,26-30,Bachelors,CS/IT,to boost my skill set,3,27,Employed,73.08289,31.38621,A+,Mobilink,Prepaid,Apna Laptop,78,173,No,<3 years ago,SQL,No,1,Yes,4,Urbun
1/4/22 18:08,Male,Pakistan,26-30,Bachelors,Biology,Switch my field of study,3.3,26.95,Employed,32.9085,73.7654,B+,Telenor,Prepaid,Apna Laptop,74,177.5,No,<3 years ago,Python,No,2.5,Yes,5,Urbun
1/4/22 18:23,Male,Pakistan,26-30,Bachelors,Enginnering,to boost my skill set,3,26.6,Unemplyed,31.2966,72.8891,A+,Telenor,Prepaid,Apna Laptop,68.7,178.3,No,<3 years ago,Python,No,2,Yes,0,Rural
1/4/22 18:05,Male,Pakistan,26-30,Masters,Enginnering,Switch my field of study,1.5,26.5,Student,33.5721,73.149,O+,U-fone,Postpaid,Desktop,82.5,160.02,Yes,In this chilla,Python,No,5,Yes,0,Urbun
1/4/22 18:16,Male,Pakistan,26-30,Bachelors,Enginnering,to boost my skill set,3,26.5,Employed,33.62702783,73.07534349,AB+,U-fone,Prepaid,Apna Laptop,67.5,185.9,No,<3 years ago,C#,No,1,Yes,0,Urbun
1/4/22 18:04,Male,Pakistan,26-30,Masters,Enginnering,to boost my skill set,2,26.5,Employed,33.74,72.83,B+,U-fone,Postpaid,Apna Laptop,65,175,No,<3 years ago,Python,No,3,Yes,2,Urbun
1/4/22 18:08,Male,Pakistan,26-30,Bachelors,Software Eng.,Switch my field of study,2,26.3,Employed,31.5204,74.3587,O+,Zong,Prepaid,Kisi ka laptop,65.7,16.51,No,>3 years ago,Python,No,3,Yes,2,Urbun
1/4/22 18:04,Female,Pakistan,26-30,Masters,Enginnering,to boost my skill set,1.5,26,Unemplyed,24.8607,67.0011,B+,U-fone,Prepaid,Apna Laptop,47,163,Yes,<3 years ago,Python,No,2,Yes,0,Urbun
1/4/22 18:11,Female,Pakistan,26-30,Masters,Statistics,to boost my skill set,2,26,Student,27.2,77.49,O+,Zong,Prepaid,Desktop,45,170.68,No,In this chilla,Python,No,2,Yes,3,Rural
1/4/22 18:06,Male,Pakistan,26-30,Masters,Enginnering,to boost my skill set,4.5,26,Employed,27.2046,77.4977,B+,Mobilink,Postpaid,Apna Laptop,86.5,185.92,Yes,<3 years ago,Python,Yes,1,Yes,1,Urbun
1/4/22 18:13,Male,Pakistan,26-30,Masters,Natural Sciences,to boost my skill set,5,26,Employed,28.61,70.65,A+,Telenor,Postpaid,Apna Laptop,65.6,164.4,Yes,In this chilla,Python,Yes,3,Yes,5,Urbun
1/4/22 18:05,Female,Pakistan,26-30,Masters,Enginnering,to boost my skill set,1,26,Unemplyed,30.3,73.3,B+,Telenor,Prepaid,Apna Laptop,55,154,Yes,In this chilla,Javascript,No,3,Yes,5,Rural
1/4/22 18:06,Male,Pakistan,26-30,Bachelors,Software Eng.,to boost my skill set,4,26,Employed,30.8138,73.4534,O+,Zong,Prepaid,Apna Laptop,68,5.6,No,>3 years ago,Python,No,3,Yes,2,Rural
1/4/22 18:06,Male,Pakistan,26-30,Masters,CS/IT,Switch my field of study,3,26,Student,31.48,74.323,A-,Mobilink,Prepaid,Apna Laptop,56.5,175.26,No,>3 years ago,Others,No,1,Yes,2,Urbun
1/4/22 18:04,Male,Pakistan,26-30,Bachelors,Enginnering,Switch my field of study,2,26,Unemplyed,31.5204,74.3587,B+,U-fone,Prepaid,Apna Laptop,89,157,Yes,>3 years ago,Python,No,3,Yes,1,Urbun
1/4/22 18:12,Female,Pakistan,26-30,Masters,Biology,to boost my skill set,3,26,Unemplyed,31.5204,74.3587,O+,Mobilink,Prepaid,Apna Laptop,88,162.56,No,In this chilla,Python,Yes,4,Yes,2,Urbun
1/4/22 18:06,Male,Pakistan,26-30,Bachelors,Enginnering,to boost my skill set,2,26,Employed,31.54,74.34,O+,Mobilink,Prepaid,Apna Laptop,68,161.544,No,>3 years ago,Python,No,2,Yes,18,Rural
1/4/22 18:05,Male,Pakistan,26-30,Bachelors,Biology,to boost my skill set,2,26,Student,31.582045,74.329376,O+,Mobilink,Prepaid,Apna Laptop,69,164.5,Yes,In this chilla,Python,No,2,Yes,1,Urbun
1/4/22 18:12,Female,Pakistan,26-30,Masters,Natural Sciences,to boost my skill set,2.5,26,Student,33.621483,72.997116,O-,U-fone,Prepaid,Apna Laptop,58,162.56,Yes,<3 years ago,Python,No,7,Yes,2,Urbun
1/4/22 18:06,Male,Pakistan,26-30,Masters,Natural Sciences,to boost my skill set,1,26,Employed,33.6844,73.0479,O-,Zong,Prepaid,Apna Laptop,105,186,Yes,>3 years ago,Python,No,1,Yes,0,Urbun
1/4/22 18:12,Female,Pakistan,26-30,Masters,Natural Sciences,to boost my skill set,0,26,Unemplyed,33.6844,73.0479,O-,U-fone,Postpaid,Apna Laptop,45.5,170.18,No,In this chilla,Python,No,4,Yes,0,Urbun
1/4/22 18:05,Male,Pakistan,26-30,Masters,Biology,to boost my skill set,2.5,26,Student,33.6938118,73.0651511,A+,U-fone,Prepaid,Apna Laptop,106.05,177.78,Yes,In this chilla,Python,No,2,Yes,0,Urbun
1/4/22 18:04,Male,Pakistan,26-30,Masters,Software Eng.,to boost my skill set,3,26,Employed,33.7715,72.7511,O+,Mobilink,Prepaid,Apna Laptop,96,172,No,>3 years ago,Python,No,6,Yes,2,Urbun
1/4/22 18:05,Male,Pakistan,26-30,Masters,Enginnering,to boost my skill set,1,26,Employed,34.8669,71.9537,O+,Telenor,Prepaid,Apna Laptop,75.5,182.28,No,<3 years ago,Python,Yes,2,Yes,3,Rural
1/4/22 18:08,Female,Pakistan,26-30,Masters,Software Eng.,to boost my skill set,2,26,Unemplyed,73.71,73.41,A+,Zong,Prepaid,Apna Laptop,68.5,164.5,No,>3 years ago,Python,No,4,Yes,1,Rural
1/4/22 18:02,Male,Pakistan,26-30,Bachelors,CS/IT,to boost my skill set,1,25,Student,1.27474774,1.947466474,B+,U-fone,Prepaid,Apna Laptop,53.6,178,No,>3 years ago,Python,No,2,Yes,6,Urbun
1/4/22 18:05,Male,Pakistan,21-25,Bachelors,Enginnering,to boost my skill set,0.6,25,Student,24.611198,46.388911,O+,International,Prepaid,Apna Laptop,76,176,Yes,<3 years ago,Python,No,1,Yes,0,International
1/4/22 18:10,Female,Pakistan,21-25,Bachelors,CS/IT,to boost my skill set,0,25,Unemplyed,25.529104,69.013573,A+,U-fone,Postpaid,Apna Laptop,46,160.02,No,<3 years ago,Others,No,2,Yes,8,Urbun
1/4/22 18:04,Male,Pakistan,21-25,Bachelors,Enginnering,to boost my skill set,1,25,Employed,27.2,77.49,O+,Telenor,Prepaid,Apna Laptop,62,184.3,No,>3 years ago,Python,No,1,Yes,2,Urbun
1/4/22 18:11,Male,Pakistan,26-30,Masters,CS/IT,to boost my skill set,1.4,25,Employed,27.2046,77.4977,O+,Mobilink,Postpaid,Apna Laptop,82,155.65,Yes,<3 years ago,Python,No,3,Yes,1,Urbun
1/4/22 18:07,Male,Pakistan,21-25,Bachelors,Enginnering,Switch my field of study,1,25,Unemplyed,30.1923029,66.9763362,O+,Telenor,Prepaid,Apna Laptop,75,188,No,In this chilla,Python,No,2,Yes,5,Urbun
1/4/22 18:06,Female,Pakistan,21-25,Masters,Biology,to boost my skill set,1,25,Student,30.3,69.3,A-,Telenor,Prepaid,Desktop,48.2,167.6,No,In this chilla,Python,No,5,No,5,Urbun
1/4/22 18:09,Female,Pakistan,21-25,Bachelors,CS/IT,Abhi tak pata nahi,0,25,Unemplyed,30.37,69.34,B+,U-fone,Prepaid,Apna Laptop,42,5.6,Yes,>3 years ago,Python,No,1,No,0,Urbun
1/4/22 18:05,Male,Pakistan,21-25,Bachelors,Others,to boost my skill set,0,25,Employed,30.5511,72.1357,O+,Mobilink,Prepaid,Apna Laptop,75,166.5,Yes,<3 years ago,Python,No,4,Yes,5,Rural
1/4/22 18:05,Male,Pakistan,21-25,Bachelors,CS/IT,to boost my skill set,0,25,Student,30.9709,72.4826,B+,Mobilink,Prepaid,Apna Laptop,86,174,No,>3 years ago,Python,No,3,Yes,2,Rural
1/4/22 18:05,Male,Pakistan,21-25,Bachelors,CS/IT,Switch my field of study,0,25,Student,31.5204,74.358,B+,U-fone,Prepaid,Apna Laptop,84,174,Yes,>3 years ago,Python,No,1,Yes,4,Urbun
1/4/22 18:06,Female,Pakistan,21-25,Bachelors,Biology,Switch my field of study,2,25,Student,31.5204,74.3587,A+,Zong,Prepaid,Apna Laptop,43,154.6,Yes,In this chilla,Python,No,4,Yes,3,Urbun
1/4/22 18:04,Male,Pakistan,21-25,Bachelors,Enginnering,Awen,3.5,25,Employed,31.582045,74.329376,B+,Mobilink,Prepaid,Apna Laptop,105.5,5.7,Yes,In this chilla,Python,Yes,4,Yes,0,Urbun
1/4/22 18:03,Male,East,21-25,Masters,Biology,to boost my skill set,2.5,25,Student,32.7844291,129.8556916,O+,International,Postpaid,Apna Laptop,68.5,180,Yes,In this chilla,Python,No,2,Yes,0,International
1/4/22 18:04,Male,Pakistan,21-25,Bachelors,Enginnering,Switch my field of study,3.1,25,Employed,33.5969,73.0528,O+,U-fone,Prepaid,Apna Laptop,69.5,163.2,No,<3 years ago,Python,No,5,Yes,0,Urbun
1/4/22 18:06,Male,Pakistan,21-25,Masters,Enginnering,to boost my skill set,1,25,Unemplyed,33.626057,73.071442,O+,Mobilink,Prepaid,Apna Laptop,68,167.64,Yes,<3 years ago,Python,No,3,Yes,0,Rural
1/4/22 18:08,Male,Pakistan,21-25,Masters,Natural Sciences,to boost my skill set,1,25,Student,33.6844,73.0479,A+,Mobilink,Prepaid,Apna Laptop,60,170.688,Yes,<3 years ago,Python,No,3,Yes,2,Urbun
1/4/22 18:06,Female,Pakistan,21-25,Bachelors,Software Eng.,Switch my field of study,0,25,Unemplyed,33.7715,72.7511,B+,Zong,Prepaid,Apna Laptop,47.5,150.2,Yes,>3 years ago,Python,No,2,Yes,0,Urbun
1/4/22 18:03,Male,Pakistan,21-25,Bachelors,Enginnering,to boost my skill set,0,25,Unemplyed,34.0151,71.5249,B+,Zong,Prepaid,Apna Laptop,130,172.72,Yes,In this chilla,Python,No,4,Yes,5,Urbun
1/4/22 18:03,Female,West,21-25,Bachelors,Biology,Switch my field of study,2,25,Student,38.626759,34.720619,AB+,International,Prepaid,Apna Laptop,69,174,Yes,In this chilla,Python,No,3,Yes,0,International
1/4/22 18:15,Male,West,21-25,Masters,CS/IT,to boost my skill set,1,25,Student,46.0748,11.1217,O+,International,Postpaid,Apna Laptop,75,165,Yes,>3 years ago,Python,No,3,Yes,0,International
1/4/22 18:05,Male,West,21-25,Bachelors,Enginnering,to boost my skill set,2,25,Student,53.1435,8.2146,B+,International,Prepaid,Apna Laptop,52.27,171.5,No,>3 years ago,Python,No,7,Yes,24,International
1/4/22 18:04,Female,Pakistan,21-25,Masters,Software Eng.,to boost my skill set,1,24.6,Student,17.38714,78.491684,A-,U-fone,Prepaid,Apna Laptop,63.4,5.5,Yes,>3 years ago,Javascript,No,3,Yes,6,Rural
