#,product_name,company_name,substance_name,cas_number,company_id
4636,3-Phenoxy-benzaldehyde,Cenik Chemicals,m-Phenoxybenzaldehyde,39515-51-0,26063
4637,3-Phenoxybenzyl alcohol,Chemical Point Italia s.r.l,3-Phenoxybenzylic Alcohol,13826-35-2,55523
4638,3-Phenoxyprop-1-yne,Chemical Point Italia s.r.l,(prop-2-ynyloxy)benzene,13610-02-1,55523
4639,3-Phenoxypropionic acid,Cenik Chemicals,3-Phenoxypropionic Acid,7170-38-9,26063
4640,3-Phenoxytoluene,Chemical Point Italia s.r.l,3-Phenoxytoluene,3586-14-9,55523
4641,3-PHENOXYTOLUENE,"Zhejiang ZETian Fine Chemicals Co.,Ltd",3-Phenoxytoluene,3586-14-9,17191
4642,"3-PHENYL-1,1,1-TRIFLUOROPROPAN-2-ONE",Cenik Chemicals,"1,1,1-Trifluoro-3-phenyl-2-propanone",350-92-5,26063
4643,"3-Phenyl-1,1,1-trifluoropropan-2-one (Benzyl trifl",Chemical Point Italia s.r.l,"1,1,1-Trifluoro-3-phenyl-2-propanone",350-92-5,55523
4644,3-Phenyl-1H-pyrazole,Chemical Point Italia s.r.l,3-Phenylpyrazol,2458-26-6,55523
4645,3-Phenyl-1-propanol,Chemical Point Italia s.r.l,3-Phenylpropan-1-ol,122-97-4,55523
4646,3-Phenylacrylonitrile,Chemical Point Italia s.r.l,Cinnamonitrile,1885-38-7,55523
4647,3-Phenylbutyraldehyde,Chemical Point Italia s.r.l,Trifernal,16251-77-7,55523
4648,3-Phenylpropionaldehyde,Chemical Point Italia s.r.l,3-Phenylpropionaldehyde,104-53-0,55523
4649,3-Phenylpropylamine,Chemical Point Italia s.r.l,3-Phenylpropylamine,2038-57-5,55523
4650,3-Phenylpropyl chlorid,Chemical Point Italia s.r.l,(3-chloropropyl)benzene,104-52-9,55523
4651,3-Phenylthiophene,Chemical Point Italia s.r.l,3-Phenylthiophene,2404-87-7,55523
4652,3-Picoline,Chemical Point Italia s.r.l,3-Picoline,108-99-6,55523
4653,3-PIPERAZIN-1-YL-PROPIONIC ACID,Cenik Chemicals,1-(2-Bromoethyl)azetidine,27245-31-4,26063
4654,3-(Pyridin-2-ylamino)propanoate,"Zhejiang ZETian Fine Chemicals Co.,Ltd",3-(Pyridin-2-Ylamino)Propanoate,103041-38-9,17191
4655,3-Pyridylacetic acid hydrochloride,"Zhejiang ZETian Fine Chemicals Co.,Ltd",3-Pyridylacetic Acid Hydrochloride,6419-36-9,17191
4656,3-Pyridylamidoxime,Chemical Point Italia s.r.l,3-Pyridylamidoxime,1594-58-7,55523
4657,3-Pyridylboronic acid,Cenik Chemicals,(Pyridin-3-yl)boronic Acid,1692-25-7,26063
4658,3-Pyridyl dimethylcarbamate,Cenik Chemicals,3-pyridyl dimethylcarbamate,51581-32-9,26063
4659,3-Pyrroline,Chemical Point Italia s.r.l,3-Pyrroline,109-96-6,55523
4660,3-Pyrroline,"Zhejiang ZETian Fine Chemicals Co.,Ltd",3-Pyrroline,109-96-6,17191
4661,3-Quinuclidinol,Chemical Point Italia s.r.l,3-Hydroxyquinuclidine,1619-34-7,55523
4662,3-Quinuclidone hydrochloride,Chemical Point Italia s.r.l,3-Oxoquinuclidine Hydrochloride,1193-65-3,55523
4663,"(3R)-1-[5,6-Dihydro-3-(trifluoromethyl)-1,2,4-triazolo[4,3-a]pyrazin-7(8H)-yl]-3-[[(1R)-1-phenylethyl]amino]-4-(2,4,5-trifluorophenyl)-1-butanone","Zhejiang ZETian Fine Chemicals Co.,Ltd","(R)-3-[(R)-1-Phenylethylamino]-1-[3-(trifluoromethyl)-5,6,7,8-tetrahydro-1,2,4-triazolo[4,3-a]pyrazine-7-yl]-4-(2,4,5-trifluorophenyl)-1-butanone",1169707-30-5,17191
4664,"(3R)-3-Aminopyrrolidine, 3-BOC protected",Cenik Chemicals,(3R)-(+)-3-(tert-Butoxycarbonylamino)pyrrolidine,122536-77-0,26063
4665,(3R)-(-)-3-Aminopyrrolidine dihydrochloride,Cenik Chemicals,(3R)-(-)-3-Aminopyrrolidine Dihydrochloride,116183-81-4,26063
4666,"(3R,4R)-(-)-1-Benzyl-3,4-pyrrolidindiol",Chemical Point Italia s.r.l,"(3R,4R)-(-)-1-Benzyl-3,4-pyrrolidindiol",163439-82-5,55523
4667,"(3R,4R)-1-Benzylpyrrolidine-3,4-diamine",Chemical Point Italia s.r.l,"(3R,4R)-(-)-3,4-Diamino-1-benzylpyrrolidine",140134-21-0,55523
4668,"(3R,4S)-3-Hydroxy-4-phenyl-2-azetidinone",Chemical Point Italia s.r.l,"(3R,4S)-3-Hydroxy-4-phenyl-2-azetidinone",132127-34-5,55523
4669,"(3R,4S)-4-(4-Fluorophenyl)-1-methyl-3-piperidine m",Chemical Point Italia s.r.l,(+/-)-trans-4-(4-fluorophenyl)-3-hydroxymethyl-N-methylpiperidine,109887-53-8,55523
4670,"(3R,4S,5R,6R)-3,4,5-tris(triMethylsilyloxy)-6-((triMethylsilyloxy)Methyl)tetrahydro-2H-pyran-2-one","Zhejiang ZETian Fine Chemicals Co.,Ltd","3,4,5-Tris(trimethylsilyloxy)-6-(trimethylsilyloxymethyl)oxan-2-one",32469-28-6,17191
4671,"(3R)-(-)-Butane-1,3-diol",Cenik Chemicals,"(R)-(-)-butane-1,3-diol",6290-03-5,26063
4672,(3S)-3-Amino-2-Pyrrolidinone,Cenik Chemicals,(3S)-3-aminopyrrolidin-2-one,4128-00-1,26063
4673,"(3S)-3-Aminopiperidine, N1-BOC protected",Cenik Chemicals,(S)-(+)-3-Amino-1-Boc-piperidine,625471-18-3,26063
4674,(3S)-(+)-3-Aminopyrrolidine dihydrochloride,Cenik Chemicals,(3S)-(+)-3-Aminopyrrolidine Dihydrochloride,116183-83-6,26063
4675,(3S)-(+)-3-Aminopyrrolidine dihydrochloride,Chemical Point Italia s.r.l,(3S)-(+)-3-Aminopyrrolidine Dihydrochloride,116183-83-6,55523
4676,(3S)-(+)-3-Fluoropyrrolidine hydrochloride,Cenik Chemicals,(3S)-3-fluoropyrrolidine hydrochloride,136725-53-6,26063
4677,(3S)-(-)-3-Hydroxypiperidine hydrochloride,Cenik Chemicals,(3S)-(-)-3-Hydroxypiperidine hydrochloride,475058-41-4,26063
4678,3-(S)-3-Methylmorpholine,Chemical Point Italia s.r.l,(3S)-3-methylmorpholine,350595-57-2,55523
4679,"(3S,4R)-4-Acetoxy-3-[(R)-1-(tert-butyldimethylsilyloxy)ethyl]azetidin-2-one",Cenik Chemicals,"(2R,3R)-3-((R)-1-(tert-butyldimethylsiloxy)ethyl)-4-oxoazetidin-2-yl acetate",76855-69-1,26063
4680,"(3S,6S)-2,7-Dimethyl-3,6-octanediol",Chemical Point Italia s.r.l,"(3S,6S)-2,7-Dimethyl-3,6-octanediol",129705-30-2,55523
4681,"(3S,6S)-2,7-Dimethyl-3,6-Octanediol",Cenik Chemicals,"(3S,6S)-2,7-Dimethyl-3,6-octanediol",129705-30-2,26063
4682,"(3S-cis)-(+)-2,3-Dihydro-3-isopropyl-7a-methylpyrr",Chemical Point Italia s.r.l,"(3S-cis)-(+)-2,3-Dihydro-3-isopropyl-7a-methylpyrrolo[2,1-b]oxazol-5(7aH)-one",116910-11-3,55523
4683,"(3S-cis)-(+)-2,3-Dihydro-7a-methyl-3-phenylpyrrolo",Chemical Point Italia s.r.l,"(3S-cis)-(+)-2,3-Dihydro-7a-methyl-3-phenylpyrrolo[2,1-b]oxazol-5(7aH)-one",143140-06-1,55523
4684,"(3S-cis)-(+)-Tetrahydro-3,7a-diphenylpyrrolo[2,1-b",Chemical Point Italia s.r.l,"(3S-cis)-(+)-Tetrahydro-3,7a-diphenylpyrrolo[2,1-b]oxazol-5(6H)-one",161970-71-4,55523
4685,3-Sulfobenzoic acid monosodium salt,Chemical Point Italia s.r.l,sodium 3-sulfobenzoate,17625-03-5,55523
4686,3-Sulfopropyl acrylate potassium salt,Chemical Point Italia s.r.l,Potassium 3-Sulphonatopropyl Acrylate,31098-20-1,55523
4687,3-Sulfopropyl methacrylate potassium salt,Chemical Point Italia s.r.l,Potassium 3-Sulphopropyl Methacrylate,31098-21-2,55523
4688,3-tert-Butoxystyrene,Chemical Point Italia s.r.l,m-tert-Butoxystyrene,105612-79-1,55523
4689,3-tert-Butyl-7-oxabicyclo(4.1.0)heptane,Chemical Point Italia s.r.l,3-(propan-2-yl)-7-oxabicyclo[4.1.0]heptane,15536-71-7,55523
4690,3-tert-Butyladipic acid,Chemical Point Italia s.r.l,3-tert-Butyladipic Acid,10347-88-3,55523
4691,3-(tert-Butyldimethylsilyoxy)phenylboronic acid,Chemical Point Italia s.r.l,3-(Tert-Butyldimethylsilyloxy)Phenylboronic Acid,261621-12-9,55523
4692,"3-Thio-1H-1,2,4-triazole",Cenik Chemicals,"1,2,4-triazole-3-thiol",3179-31-5,26063
4693,3-Thiopheneacetic acid,"Zhejiang ZETian Fine Chemicals Co.,Ltd",3-Thiopheneacetic Acid,6964-21-2,17191
4694,3-Thiopheneboronic acid,Cenik Chemicals,(thiophen-3-yl)boronic acid,6165-69-1,26063
4695,3-Thiophenecarbonitrile,Chemical Point Italia s.r.l,3-Thiophenecarbonitrile,1641-09-4,55523
4696,3-Thiophenecarboxaldehyde,Cenik Chemicals,3-Thiophenecarboxaldehyde,498-62-4,26063
4697,3-Thiophenecarboxaldehyde,"Zhejiang ZETian Fine Chemicals Co.,Ltd",3-Thiophenecarboxaldehyde,498-62-4,17191
4698,3-Thiophenemalonic acid,Chemical Point Italia s.r.l,3-Thienylmalonic Acid,21080-92-2,55523
4699,3-Thiophenezoic acid,"Zhejiang ZETian Fine Chemicals Co.,Ltd",3-Thiophenezoic Acid,88-13-1,17191
4700,3-Tolylacetonitrile,Chemical Point Italia s.r.l,3-Methylbenzyl Cyanide,2947-60-6,55523
4701,3-Tolylboronic Acid,Cenik Chemicals,(3-methylphenyl)boronic acid,17933-03-8,26063
4702,3-(Triethoxysilyl)propyl isocyanate,Chemical Point Italia s.r.l,3-Isocyanatopropyltriethoxysilane,24801-88-5,55523
4703,(-)-3-(Trifluoroacetyl)camphor,Chemical Point Italia s.r.l,(-)-3-(Trifluoroacetyl)camphor,207742-84-5,55523
4704,3-(Trifluoroacetyl)indole,Chemical Point Italia s.r.l,3-(Trifluoroacetyl)Indole,14618-45-2,55523
4705,3-Trifluoromethoxyaniline,Chemical Point Italia s.r.l,3-Trifluoromethoxyaniline,1535-73-5,55523
4706,3-(Trifluoromethoxy)benzyl bromide,Chemical Point Italia s.r.l,1-(Bromomethyl)-3-(Trifluoromethoxy)Benzene,159689-88-0,55523
4707,3-(Trifluoromethoxy)nitrobenzene,Chemical Point Italia s.r.l,3-(Trifluoromethoxy)Nitrobenzene,2995-45-1,55523
4708,3-(Trifluoromethoxy)phenol,"Zhejiang ZETian Fine Chemicals Co.,Ltd",3-(Trifluoromethoxy)phenol,827-99-6,17191
4709,3-Trifluoromethoxyphenylboronic acid,Chemical Point Italia s.r.l,3-(Trifluoromethoxy)Phenylboronic Acid,179113-90-7,55523
4710,"3-(Trifluoromethyl)-1,2-propenoxide",Cenik Chemicals,"1,2-Epoxy-1H,1H,2H,3H,3H-trifluorobutane",407-12-5,26063
4711,"(3-(Trifluoromethyl)-5,6,7,8-tetrahydro-[1,2,4]triazolo[4,3-a]pyrazine hydrochloride)","Zhejiang ZETian Fine Chemicals Co.,Ltd","(3-(Trifluoromethyl)-5,6,7,8-Tetrahydro-[1,2,4]Triazolo[4,3-A]Pyrazine Hydrochloride)",762240-92-6,17191
4712,3'-Trifluoromethylacetophenone,Chemical Point Italia s.r.l,3′-(Trifluoromethyl) Acetophenone,349-76-8,55523
4713,3'-(Trifluoromethyl)acetophenone,Cenik Chemicals,3′-(Trifluoromethyl) Acetophenone,349-76-8,26063
4714,3-(Trifluoromethyl)benzaldehyde,Cenik Chemicals,3-(Trifluoromethyl)Benzaldehyde,454-89-7,26063
4715,3-(Trifluoromethyl)benzoic acid,Cenik Chemicals,3-(Trifluoromethyl)Benzoic Acid,454-92-2,26063
4716,3-(Trifluoromethyl)benzonitrile,Cenik Chemicals,3-(Trifluoromethyl)Benzonitrile,368-77-4,26063
4717,3-(Trifluoromethyl)benzonitrile,Chemical Point Italia s.r.l,3-(Trifluoromethyl)Benzonitrile,368-77-4,55523
4718,3-(Trifluoromethyl)benzoyl chloride,Chemical Point Italia s.r.l,3-(Trifluoromethyl)Benzoyl Chloride,2251-65-2,55523
4719,3-(Trifluoromethyl)benzyl alcohol,Chemical Point Italia s.r.l,3-(Trifluoromethyl)Benzyl Alcohol,349-75-7,55523
4720,3-(Trifluoromethyl)-DL-phenylglycine,Chemical Point Italia s.r.l,Amino-(3-Trifluoromethyl-Phenyl)-Acetic Acid,242475-26-9,55523
4721,3-(trifluoromethyl)p,Cenik Chemicals,3-(Trifluoromethyl)Pyridine,3796-23-4,26063
4722,3-Trifluoromethylphenylacetic acid,Chemical Point Italia s.r.l,"(α,α,α-trifluoro-3-tolyl)acetic acid",351-35-9,55523
4723,3-(Trifluoromethyl)phenylacetone,Chemical Point Italia s.r.l,"1-(α,α,α-Trifluoro-m-tolyl)acetone",21906-39-8,55523
4724,3-(Trifluoromethyl)phenyl acetonitrile,Chemical Point Italia s.r.l,3-(Trifluoromethyl)Phenylacetonitrile,2338-76-3,55523
4725,3-(Trifluoromethyl)phenylboronic acid,Cenik Chemicals,(3-(trifluoromethyl)phenyl)boronic acid,1423-26-3,26063
4726,3-Trifluoromethylphenylboronic acid,Chemical Point Italia s.r.l,(3-(trifluoromethyl)phenyl)boronic acid,1423-26-3,55523
4727,3-(Trifluoromethyl)phenylhydrazine,Chemical Point Italia s.r.l,3-(Trifluoromethyl)Phenylhydrazine,368-78-5,55523
4728,3-(Trifluoromethyl)phenyl isocyanate,Cenik Chemicals,"α,α,α-Trifluoro-3-tolyl Isocyanate",329-01-1,26063
4729,3-(Trifluoromethyl)phenyl isocyanate,Chemical Point Italia s.r.l,"α,α,α-Trifluoro-3-tolyl Isocyanate",329-01-1,55523
4730,3-(Trifluoromethyl)phenyl isothiocyanate,Chemical Point Italia s.r.l,1-Isothiocyanato-3-(trifluoromethyl)benzene,1840-19-3,55523
4731,3'-(Trifluoromethyl)propiophenone,Chemical Point Italia s.r.l,3'-(Trifluoromethyl)Propiophenone,1533-03-5,55523
4732,3-Trifluoromethylpyrazole,Chemical Point Italia s.r.l,3-(Trifluoromethyl)Pyrazole,20154-03-4,55523
4733,3-(Trifluoromethyl)pyrazole,"Zhejiang ZETian Fine Chemicals Co.,Ltd",3-(Trifluoromethyl)Pyrazole,20154-03-4,17191
4734,3-(Trimethoxysilyl)Propyl methacrylate,Cenik Chemicals,"3-(Trimethoxysilyl)propyl Methacrylate, stabilized with BHT",2530-85-0,26063
4735,3-(Trimethylsilyl)-1-propanesulfonic acid sodium s,Chemical Point Italia s.r.l,Sodium 3-(Trimethylsilyl)propane-1-sulfonate Hydrate,2039-96-5,55523
4736,3-(Trimethylsilyl)-1-propanol,Chemical Point Italia s.r.l,3-(Trimethylsilyl)-1-propanol,2917-47-7,55523
4737,3-[Tris(trimethylsiloxy)silyl]propyl methacrylate,Chemical Point Italia s.r.l,3-(Tris(trimethylsiloxy)silyl)propyl Methacrylate,17096-07-0,55523
4738,3-Tritylmercaptopropionic acid,Chemical Point Italia s.r.l,3-Tritylmercapto-Propionic Acid,27144-18-9,55523
4739,40% Bemystrobin·Flua,Cenik Chemicals,,,26063
4740,40% Dimethomorph·Flu,Cenik Chemicals,,,26063
4741,"4-(1,1,1,2,3,3,3-hep...",Cenik Chemicals,"2-Methyl-4-(1,1,1,2,3,3,3-Heptafluoro-2-Propyl)Aniline",238098-26-5,26063
4742,"4-(1,1,2,2-Tetrafluoroethoxy)toluene",Chemical Point Italia s.r.l,"4-(1,1,2,2-Tetrafluoroethoxy)Toluene",1737-11-7,55523
4743,"4-(1,2-Benzothiazol-3-yl)-1-[(3aR,7aR)-octahydro-2H-isoindol-2-yl]piperazin-1-ium-1-sulfonate",Chemical Point Italia s.r.l,"(3Ar,7Ar)-4'-(1,2-Benzisothiazol-3-Yl)Octahydrospiro[2H-Isoindole-2,1'-Piperazinium] Methanesulfonate",186204-37-5,55523
4744,4-(1-Adamantyl)phenol,Chemical Point Italia s.r.l,4-(1-Adamantyl)Phenol,29799-07-3,55523
4745,"4-[[(1R)-2-[5-(2-fluoro-3-methoxyphenyl)-3-[[2-fluoro-6-(trifluoromethyl)phenyl]methyl]-3,6-dihydro-4-methyl-2,6-dioxo-1(2H)-pyrimidinyl]-1-phenylethyl]amino] ethyl ester","Zhejiang ZETian Fine Chemicals Co.,Ltd","4-[[(1R)-2-[5-(2-Fluoro-3-Methoxyphenyl)-3-[[2-Fluoro-6-(Trifluoromethyl)Phenyl]Methyl]-3,6-Dihydro-4-Methyl-2,6-Dioxo-1(2H)-Pyrimidinyl]-1-Phenylethyl]Amino] Ethyl Ester",832720-84-0,17191
4746,"4-[2-(2-Amino-4,7-dihydro-4-oxo-3H-pyrrolo[2,3-d]p",Chemical Point Italia s.r.l,"4-[2-(2- Amino-4,7,-Dihydro-4-Oxo-1H-Pymol ( 2,3,-D) Pyrimodin-5-Yl) Ethyl ] Benzoic Acid",137281-39-1,55523
4747,4-[2-[(3-Ethyl-4-methyl-2-oxo-3-pyrrolin-1-yl)carboxamido]ethyl]benzenesulfonamide,"Zhejiang ZETian Fine Chemicals Co.,Ltd",Glimepiride Sulfonamide,119018-29-0,17191
4748,"4-(2,4-Dichlorophenoxy)nitrobenzene",Chemical Point Italia s.r.l,"4-(2,4-Dichlorophenoxy)Nitrobenzene (Nitrofen)",1836-75-5,55523
4749,4-(2-(5-Chloro-2-methoxybenzamido)ethyl))benzensul,Chemical Point Italia s.r.l,4-[2-(5-Chloro-2-Methoxybenzamido)Ethyl]Phenylsulfonamide,16673-34-0,55523
4750,"4-(2,6,6-Trimethylcyclohex-2-en-1-yl)-3-methylbut-",Chemical Point Italia s.r.l,"3-Methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-3-buten-2-one",127-51-5,55523
4751,"4-[(2,6-Dimethylphenyl)hydroxymethyl]imidazole","Zhejiang ZETian Fine Chemicals Co.,Ltd","4-[(2,6-Dimethylphenyl)Hydroxymethyl]Imidazole",78892-28-1,17191
4752,4-(2-AMINO-ETHYL)-2-METHOXY-PHENOL,"Zhejiang ZETian Fine Chemicals Co.,Ltd",4-(2-Amino-Ethyl)-2-Methoxy-Phenol,554-52-9,17191
4753,4-(2-Aminoethyl)benzenesulfonamide,Chemical Point Italia s.r.l,4-(2-Aminoethyl)benzenesulfonamide,35303-76-5,55523
4754,4-(2-Aminoethyl)Benzenesulfonamide,Cenik Chemicals,4-(2-Aminoethyl)benzenesulfonamide,35303-76-5,26063
4755,4-(2-Aminoethyl)morpholine,"Zhejiang ZETian Fine Chemicals Co.,Ltd",2-Morpholinoethylamine,2038-03-1,17191
4756,4-(2-Aminoethyl)Morpholine,Cenik Chemicals,2-Morpholinoethylamine,2038-03-1,26063
4757,4-(2-BENZOTHIAZOLYLDITHIO)MORPHOLINE,"Zhejiang ZETian Fine Chemicals Co.,Ltd",4-(2-Benzothiazolyldithio)Morpholine,95-32-9,17191
4758,4'-(2-Chloroacetyl)acetanilide,Chemical Point Italia s.r.l,4-Chloroacetyl Acetanilide,140-49-8,55523
4759,4-(2-Chloroacetyl)morpholine,Chemical Point Italia s.r.l,4-(2-Chloroacetyl)Morpholine,1440-61-5,55523
4760,4-(2-Chloroethyl)morpholine hydrochloride,Chemical Point Italia s.r.l,4-(2-Chloroethyl)Morpholine Hydrochloride,3647-69-6,55523
4761,4-(2-Chlorophenyl)but-3-en-2-one,Cenik Chemicals,(E)-4-(2-Chloro-phenyl)-but-3-en-2-one,20766-37-4,26063
4762,4-[2-(dimethylamino)ethoxy]benzylamine,"Zhejiang ZETian Fine Chemicals Co.,Ltd",4-[2-(Dimethylamino)Ethoxy]Benzylamine,20059-73-8,17191
4763,4-{2-(Dimethylamino)ethoxy}benzylamine,Chemical Point Italia s.r.l,4-[2-(Dimethylamino)Ethoxy]Benzylamine,20059-73-8,55523
4764,4-[(2-fluorophenyl)amino]-Benzonitrile,"Zhejiang ZETian Fine Chemicals Co.,Ltd",4-[(2-Fluorophenyl)Amino]-Benzonitrile,1019502-17-0,17191
4765,"4-(2H-1,2,3-Benzotriazole-2-yl)benzene-1,3-diol, 9",Chemical Point Italia s.r.l,"4-(2H-Benzo[D][1,2,3]Triazol-2-Yl)Benzene-1,3-Diol",22607-31-4,55523
4766,"4-(2H-benzo[d][1,2,3]triazol-2-yl)benzene-1,3-diol","Zhejiang ZETian Fine Chemicals Co.,Ltd","4-(2H-Benzo[D][1,2,3]Triazol-2-Yl)Benzene-1,3-Diol",22607-31-4,17191
4767,[4-[(2-Hydroxytetradecyl)oxy]phenyl]phenyliodonium,Chemical Point Italia s.r.l,"(4-((2-Hydroxytetradecyl)oxy)phenyl)phenyliodonium, (OC-6-11)-Hexafluoroantimonat(1-) (1:1)",139301-16-9,55523
4768,4-(2-Keto-1-benzimidazolinyl)piperidine,Chemical Point Italia s.r.l,"1-(Piperidin-4-yl)-2,3-dihydro-1H-1,3-benzodiazol-2-one",20662-53-7,55523
4769,4-(2-Mercaptoethyl)pyridine Hydrochloride,Cenik Chemicals,,,26063
4770,4-(2-methylpropyl)pyrrolidin-2-one,Cenik Chemicals,,,26063
4771,4-(2-Nitrovinyl)indole,"Zhejiang ZETian Fine Chemicals Co.,Ltd",4-(2-Nitrovinyl)Indole,49839-99-8,17191
4772,4-(2-Pyridinyl)benzaldehyde,"Zhejiang ZETian Fine Chemicals Co.,Ltd",4-(2-Pyridiyl)Benzaldehyde,127406-56-8,17191
4773,4-(2-Pyridiyl)benzaldehyde,"Zhejiang ZETian Fine Chemicals Co.,Ltd",4-(2-Pyridiyl)Benzaldehyde,127406-56-8,17191
4774,4-(2-PYRIDYL)ANILINE,"Zhejiang ZETian Fine Chemicals Co.,Ltd",4-(Pyridin-2-Yl)Aniline,18471-73-3,17191
4775,4-(2-Pyridylazo)resorcinol,Chemical Point Italia s.r.l,4-(2-Pyridylazo)Resorcinol,1141-59-9,55523
4776,4-(2-Pyridyl)benzaldehyde,Chemical Point Italia s.r.l,4-(2-Pyridiyl)Benzaldehyde,127406-56-8,55523
4777,4-(2-Pyridyl) Benzaldehyde-t-Boc hydrazine,Cenik Chemicals,Tert-Butyl 2-(4-(Pyridin-2-Yl)Benzyl)Hydrazinecarboxylate,198904-85-7,26063
4778,"4-(3,4-Dichlorophenyl)-1-tetralone","Zhejiang ZETian Fine Chemicals Co.,Ltd","4-(3,4-Dichlorophenyl)-1-Tetralone",79560-19-3,17191
4779,"4-[3-(4-Iodphenyl)-2-(4-nitrophenyl)-2H-5-tetrazolio]-1,3-benzoldisulfonat",Chemical Point Italia s.r.l,"(2-(4-Iodophenyl)-3-(4-nitrophenyl)-5-(2,4-disulfophenyl)-2H-tetrazolium)",150849-52-8,55523
4780,4-((3-Chloro-4-fluorophenyl)amino)-7-methoxyquinazolin-6-yl acetate,"Zhejiang ZETian Fine Chemicals Co.,Ltd",4-((3-Chloro-4-Fluorophenyl)Amino)-7-Methoxyquinazolin-6-Yl Acetate,788136-89-0,17191
4781,4-(3-Chlorophenyl)but-3-en-2-one,Cenik Chemicals,(E)-4-(3-Chloro-phenyl)-but-3-en-2-one,20766-36-3,26063
4782,4-(3-Chloropropyl)morpholine,Cenik Chemicals,4-(3-Chloropropyl)Morpholine,7357-67-7,26063
4783,4-(3-methoxy-4-nitrophenyl)morpholine,Cenik Chemicals,4-(3-Methoxy-4-Nitrophenyl)Morpholine,6950-88-5,26063
4784,4-(3-Oxobutyl)phenyl acetate,Chemical Point Italia s.r.l,4-(4-Acetoxyphenyl)-2-butanone,3572-06-3,55523
4785,4-(3-Phenylpropyl)pyridine,Chemical Point Italia s.r.l,4-(3-Phenylpropyl)pyridine,2057-49-0,55523
4786,4-(3-Trifluoromethylphenyl)-4'-piperidinol,Chemical Point Italia s.r.l,4-(3-Trifluoromethyl)Phenyl-4-Piperidinol,2249-28-7,55523
4787,"4,4´-(1,1´-Biphenyl-4,4´-diyldioxy)dianiline",Chemical Point Italia s.r.l,"4,4'-Bis(4-Aminophenoxy)Biphenyl",13080-85-8,55523
4788,"4,4´-(1,3-Phenylenediisopropylidene)bisaniline",Chemical Point Italia s.r.l,"1,3-Bis[2-(4-aminophenyl)-2-propyl]benzene",2687-27-6,55523
4789,"4,4´-(1,3-Phenylenediisopropylidene)bisphenol",Chemical Point Italia s.r.l,Bisphenol-M,13595-25-0,55523
4790,"4,4'-(1,3-Phenylenedioxy)dianiline",Chemical Point Italia s.r.l,"1,3-Bis(4-aminophenoxy)benzene",2479-46-1,55523
4791,"4´,4´´´´-(1,4-Phenylene)bis(2,2´:6´,2´´-terpyridin",Chemical Point Italia s.r.l,"1,4-Di[[2,2':6',2''-terpyridin]-4'-yl]benzene",146406-75-9,55523
4792,"4,4´-(1,4-Phenylenedioxy)dianiline",Chemical Point Italia s.r.l,"1,4-Bis(4-aminophenoxy)benzene",3491-12-1,55523
4793,4-[4-(1-Hydroxyethyl)-2-methoxy-5-nitrophenoxy]but,Chemical Point Italia s.r.l,4-[4-(1-Hydroxyethyl)-2-methoxy-5-nitrophenoxy]butyric Acid,175281-76-2,55523
4794,"4,4´-(1-Phenylethylidene)bisphenol",Chemical Point Italia s.r.l,BAISTER,1571-75-1,55523
4795,"4,4´-(4,4´-Isopropylidenediphenyl-1,1´-diyldioxy)d",Chemical Point Italia s.r.l,"4,4'-(4,4'-Isopropylidenediphenyl-1,1'-Diyldioxy)Dianiline",13080-86-9,55523
4796,"4,4'-(4,4'-Isopropylidenediphenyl-1,1'-diyldioxy)dianiline","Zhejiang ZETian Fine Chemicals Co.,Ltd","4,4'-(4,4'-Isopropylidenediphenyl-1,1'-Diyldioxy)Dianiline",13080-86-9,17191
4797,"4,4,4,4-(Porphine-5,10,15,20-tetrayl)- tetrakis(be",Chemical Point Italia s.r.l,meso-Tetra(4-carboxyphenyl)porphine,14609-54-2,55523
4798,"4,4,4,5,5,5-Hexafluoro-DL-valine",Chemical Point Italia s.r.l,"(±)-2-amino-4,4,4-trifluoro-3-(trifluoromethyl)butyric acid",16063-80-2,55523
4799,"4'-(4,4,5,5-Tetramethyl-1,3,2-dioxaborolan -2-YL)a",Chemical Point Italia s.r.l,4-Acetamidophenylboronic Acid Pinacol Ester,214360-60-8,55523
4800,"4-(4,4,5,5-Tetramethyl-1,3,2-dioxaborolan-2-YL)ani",Chemical Point Italia s.r.l,4-Aminophenylboronic Acid Pinacolate,214360-73-3,55523
4801,"4,4',4''-Tricarboxytriphenylamine","Zhejiang ZETian Fine Chemicals Co.,Ltd","4,4',4''-Tricarboxytriphenylamine",118996-38-6,17191
4802,"(±)-4,4,4-Trifluoro-3-(3-indolyl)butyric acid",Chemical Point Italia s.r.l,"(Â±)-4,4,4-Trifluoro-3-(3-indolyl)butyric acid",153233-36-4,55523
4803,"4,4,5,5,5-Pentafluoropentan-1-ol",Chemical Point Italia s.r.l,"4,4,5,5,5-Pentafluoropentan-1-Ol",148043-73-6,55523
4804,"4,4,5,5-Tetramethyl-1,3,2-dioxaborolane(Pinacolbor",Chemical Point Italia s.r.l,Pinacolborane,25015-63-8,55523
4805,"4-(4,6-dimethoxy-1,3,5-triazin-2-yl)-4-methylmorpholin-4-ium chloride",Cenik Chemicals,"4-(4,6-Dimethoxy-1,3,5-triazin-2-yl)-4-methylmorpholinium chloride",3945-69-5,26063
4806,"4,4'-(9-Fluorenylidene)diphenol",Cenik Chemicals,"4,4'-(9-Fluorenylidene)Diphenol",3236-71-3,26063
