#,product_name,company_name,substance_name,cas_number,company_id
44,"1,1,1,3,5,5,5-Heptamethyltrisiloxane",Cenik Chemicals,Heptamethyltrisiloxane,1873-88-7,26063
45,"1,1,1,3,5,5,5-Heptamethyltrisiloxane",Chemical Point Italia s.r.l,Heptamethyltrisiloxane,1873-88-7,55523
46,"1,1,1,3-Tetrachloro-propane","Zhejiang ZETian Fine Chemicals Co.,Ltd","1,1,1,3-tetrachloropropane",1070-78-6,17191
47,"1,1,1,3-Tetrachlorotetrafluoropropane",Chemical Point Italia s.r.l,"1,1,1,3-tetrachlorotetrafluoropropane",2268-46-4,55523
48,"1,1,1,5,5,6,6,6-Octafluoro-2,4-hexanedione",Chemical Point Italia s.r.l,"1,1,1,5,5,6,6,6-Octafluoro-2,4-hexanedione",20825-07-4,55523
49,"1,11-Dibromoundecane",Chemical Point Italia s.r.l,"1,11-dibromoundecane",16696-65-4,55523
50,"11-(1-Methylpiperidin-4-ylidene)-6,11-dihydro-5H-benzo[d]iMidazo[1,2-a]azepine","Zhejiang ZETian Fine Chemicals Co.,Ltd","11-(1-Methylpiperidin-4-Ylidene)-6,11-Dihydro-5H-Benzo[D]Imidazo[1,2-A]Azepine",147083-36-1,17191
51,"1,1,1-Trichloro-2,2-bis(4-hydroxyphenyl)ethane",Chemical Point Italia s.r.l,"1,1,1-Trichloro-2,2-bis(4-hydroxyphenyl)ethane",2971-36-0,55523
52,"1,1,1-Trichlorotrifluoroethane",Cenik Chemicals,trichlorotrifluoroethane,354-58-5,26063
53,"1,1,1-Trichlorotrifluoroethane",Chemical Point Italia s.r.l,trichlorotrifluoroethane,354-58-5,55523
54,"1,1,1-Trifluoro-2,3-epoxypropane, 98%",Chemical Point Italia s.r.l,"1,1,1-TRIFLUORO-2,3-EPOXYPROPANE",359-41-1,55523
55,"1,1,1-TRIFLUORO-2,4-HEXANEDIONE",Cenik Chemicals,"1,1,1-trifluorohexane-2,4-dione",400-54-4,26063
56,"1,1,1-Trifluoro-2,4-pentanedione",Cenik Chemicals,"1,1,1-trifluoropentane-2,4-dione",367-57-7,26063
57,"1,1,1-Trifluoro-2,4-pentanedione","Zhejiang ZETian Fine Chemicals Co.,Ltd","1,1,1-trifluoropentane-2,4-dione",367-57-7,17191
58,"1,1,1-Trifluoro-2-iodoethane",INFINIUM PHARMACHEM LIMITED,"1,1,1-Trifluoroiodoethane",16355-92-3,734
59,"1,1,1-Trifluoro-2-phenyl-3-buten-2-ol",Chemical Point Italia s.r.l,"1,1,1-Trifluoro-2-phenyl-3-buten-2-ol",134418-70-5,55523
60,"1,1,1-Trifluoro-5,5-dimethyl-2,4-hexanedione, 97%",Chemical Point Italia s.r.l,"1,1,1-trifluoro-5,5-dimethylhexane-2,4-dione",22767-90-4,55523
61,"1,1,1-Trifluoro-5-methyl-2,4-hexanedione",Chemical Point Italia s.r.l,"1,1,1-trifluoro-5-methylhexane-2,4-dione",30984-28-2,55523
62,"1,1,1-Tris(4-hydroxyphenyl)ethane",Chemical Point Italia s.r.l,"1,1,1-Tris(4-hydroxyphenyl)ethane",27955-94-8,55523
63,"1,1,1-Tris(chloromethyl)ethane",Chemical Point Italia s.r.l,"1,3-Dichloro-2-(chloromethyl)-2-methylpropane",1067-09-0,55523
64,"1,11-Undecanediol","Zhejiang ZETian Fine Chemicals Co.,Ltd","1,11-Undecanediol",765-04-8,17191
65,"1,1,2,2,3,4-Hexafluoro-3,4-bis(trifluoromethyl)",Chemical Point Italia s.r.l,"1,1,2,2,3,4-hexafluoro-3,4-bis(trifluoromethyl)cyclobutane",2994-71-0,55523
66,"1,1,2,2-Tetrachloroethane",2M-SOLUTION GmbH,"1,1,2,2-tetrachloroethane",79-34-5,60458
67,"1,1,2,2-Tetrachloroethane-d2",Chemical Point Italia s.r.l,"1,1,2,2-tetrachloro-[1,2-2H2]ethane",33685-54-0,55523
68,"1,1,2,2-Tetrachlorotetrafluorocyclobutane",Chemical Point Italia s.r.l,"1,1,2,2-tetrachloro-3,3,4,4-tetrafluorocyclobutane",336-50-5,55523
69,"1,1,2,2-Tetrafluoroethane",Chemical Point Italia s.r.l,"1,1,2,2-tetrafluoroethane",359-35-3,55523
70,"(1,1,2,2-Tetrafluoroethoxy)benzene",Chemical Point Italia s.r.l,"(1,1,2,2-tetrafluoroethoxy)benzene",350-57-2,55523
71,"1,1,2,2-Tetrafluoroethyl 2,2,3,3-tetrafluoropropyl",Chemical Point Italia s.r.l,"1,1,2,2-Tetrafluoroethyl 2,2,3,3-Tetrafluoropropyl Ether",16627-68-2,55523
72,"1,1,2,2-Tetramethoxyethane",Chemical Point Italia s.r.l,"1,1,2,2-tetramethoxyethane",2517-44-4,55523
73,"1,12-Diaminododecane",Chemical Point Italia s.r.l,"1,12-Diaminododecane",2783-17-7,55523
74,"1,12-Dibromododecane",Chemical Point Italia s.r.l,"1,12-Dibromododecane",3344-70-5,55523
75,"1,12-Dibromododecane","Zhejiang ZETian Fine Chemicals Co.,Ltd","1,12-Dibromododecane",3344-70-5,17191
76,"1,12-Diisocyanatododecane",Chemical Point Italia s.r.l,"1,12-Diisocyanatododecane",13879-35-1,55523
77,"1,12-Dodecanediamine",Cenik Chemicals,"1,12-Diaminododecane",2783-17-7,26063
78,"1,1,2-Trifluoroethane (FC-143)",Cenik Chemicals,"1,1,2-trifluoroethane",430-66-0,26063
79,"1,1,3,3,3-Pentafluoro-2-trifluoromethylpropyl methyl ether",Cenik Chemicals,"2-[difluoro(methoxy)methyl]-1,1,1,3,3,3-hexafluoropropane",382-26-3,26063
80,"1,1,3,3,5,5-Hexamethyltrisiloxane",Chemical Point Italia s.r.l,"1,1,3,3,5,5-Hexamethyltrisiloxane",1189-93-1,55523
81,"1,1,3,3-Tetrabromoacetone",Chemical Point Italia s.r.l,"1,1,3,3-Tetrabromoacetone",22612-89-1,55523
82,"1,1,3,3-Tetraethoxypropane",Chemical Point Italia s.r.l,"1,1,3,3-tetraethoxypropane",122-31-6,55523
83,"1,1,3,3-Tetraisopropyldisiloxane",Chemical Point Italia s.r.l,"1,1,3,3-Tetraisopropyldisiloxane",18043-71-5,55523
84,"1,1,3,3-TETRAISOPROPYLDISILOXANE",Cenik Chemicals,"1,1,3,3-Tetraisopropyldisiloxane",18043-71-5,26063
85,"1,1,3,3-Tetramethoxycyclobutane",Chemical Point Italia s.r.l,"1,1,3,3-Tetramethoxycyclobutane",152897-19-3,55523
86,"1,1,3,3-Tetramethoxypropane",Chemical Point Italia s.r.l,"1,1,3,3-Tetramethoxypropane",102-52-3,55523
87,"1,1,3,3-Tetramethyl-1,3-diphenyldisilazane",Chemical Point Italia s.r.l,"1,3-Diphenyl-1,1,3,3-tetramethyldisilazane",3449-26-1,55523
88,"1,1,3,3-Tetramethyl-1,3-divinyldisilazane",Chemical Point Italia s.r.l,Tetramethyldivinyldisilazane,7691-02-3,55523
89,"1,1,3,3-Tetramethylbutyl isocyanate",Chemical Point Italia s.r.l,"1,1,3,3-Tetramethylbutyl isocyanate",1611-57-0,55523
90,"1,1,3,3-Tetramethylbutyl isocyanide",Chemical Point Italia s.r.l,"1,1,3,3-tetramethylbutyl isocyanate",14542-93-9,55523
91,"1,1,3,3-Tetramethyldisiloxane",Cenik Chemicals,"1,1,3,3-Tetramethyldisiloxan",3277-26-7,26063
92,"1,1,3,3-Tetramethyldisiloxane",Chemical Point Italia s.r.l,"1,1,3,3-Tetramethyldisiloxan",3277-26-7,55523
93,"1,1,3,3-Tetramethylurea",Cenik Chemicals,"1,1,3,3-Tetramethylurea; Tmu",632-22-4,26063
94,"1,1,3-Tribromoacetone",Cenik Chemicals,,,26063
95,"1,1,3-Tributylthiourea",Chemical Point Italia s.r.l,Tri Butyl Thiourea,2422-88-0,55523
96,"1,1,3-Trichloropropene",Chemical Point Italia s.r.l,"1,1,3-trichloropropene",2567-14-8,55523
97,"1,1,3-Trimethoxypropane",Cenik Chemicals,"1,1,3-Trimethoxypropane",14315-97-0,26063
98,"1,1,3-Trimethoxypropane",Chemical Point Italia s.r.l,"1,1,3-Trimethoxypropane",14315-97-0,55523
99,"1,1,3-Trimethylcyclohexane",Chemical Point Italia s.r.l,"1,1,3-trimethylcyclohexane",3073-66-3,55523
100,"1,1,3-Triphenylpropargyl alcohol",Cenik Chemicals,"1,1,3-Triphenyl-2-propyn-1-ol",1522-13-0,26063
101,"1,1,3-Triphenylpropargyl alcohol",Chemical Point Italia s.r.l,"1,1,3-Triphenyl-2-propyn-1-ol",1522-13-0,55523
102,"1,1,3-Tris(2-methyl-4-hydroxy-5-tert-butylphenyl)b",Chemical Point Italia s.r.l,"4,4',4''-Butane-1,1,3-triyltris(2-tert-butyl-5-methylphenol)",1843-03-4,55523
103,"1,1,3-Tris(phenylthio)-1-propene",Chemical Point Italia s.r.l,"1,1,3-Tris(phenylthio)-1-propene",102070-37-1,55523
104,"1,1,4,4-Tetraphenyl-2-butyne-1,4-diol",Cenik Chemicals,"1,1,4,4-Tetraphenyl-2-butyne-1,4-diol",1483-74-5,26063
105,"1,1,4,4-Tetraphenylbutadiene",Chemical Point Italia s.r.l,"1,1,4,4-tetraphenylbuta-1,3-diene",1450-63-1,55523
106,"1,1´-(4,6-Dihydroxy-1,3-phenylene)bisethanone",Chemical Point Italia s.r.l,"1,1'-(4,6-dihydroxy-1,3-phenylene)bisethan-1-one",2161-85-5,55523
107,"1,1,4,7,10,10-Hexaphenyl-1,4,7,10-tetraphosphadeca",Chemical Point Italia s.r.l,"1,1,4,7,10,10-hexaphenyl-1,4,7,10-tetraphosphadecane",23582-04-9,55523
108,"1,1,4,7,7-Pentamethyldiethylenetriamine",Chemical Point Italia s.r.l,Bis(2-dimethylaminoethyl)(methyl)amine,3030-47-5,55523
109,"1,14-Tetradecanediol","Zhejiang ZETian Fine Chemicals Co.,Ltd","1,14-Tetradecanediol",19812-64-7,17191
110,"1,14-Tetradecanediol 95% (GC)",Chemical Point Italia s.r.l,"1,14-Tetradecanediol",19812-64-7,55523
111,"1,14-Tetradecanediol dimethacrylate",Chemical Point Italia s.r.l,"1,14-Tetradecanediol dimethacrylate",168473-14-1,55523
112,"1,1,5,5-tetramethyl-3,3-diphenyltrisiloxane",Cenik Chemicals,"1,1,5,5-tetramethyl-3,3-diphenyltrisiloxane",17875-55-7,26063
113,"1,18-Dibromooctadecane",Chemical Point Italia s.r.l,"1,18-Dibromooctadecane",31772-06-2,55523
